time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.462,-0.9213,9.7068,-0.0056,-0.0042,-0.0028
0.02,0.5838,-0.7974,9.81,0.0035,0.0027,0.0018
0.04,0.5707,-0.6913,9.9152,0.0179,0.0134,0.009
0.06,0.4747,-0.8066,9.814,0.0009,0.0007,0.0005
0.08,0.5676,-0.8105,9.8564,0.0062,0.0047,0.0031
0.1,0.483,-0.7567,9.6738,-0.0024,-0.0018,-0.0012
0.12,0.4201,-0.939,9.5973,-0.0139,-0.0104,-0.007
0.14,0.5863,-0.6853,9.7581,0.0021,0.0016,0.001
0.16,0.4271,-0.872,9.5668,-0.0282,-0.0211,-0.0141
0.18,0.4933,-0.8797,9.6086,-0.012,-0.009,-0.006
0.2,0.5018,-0.8652,9.7226,0.009,0.0067,0.0045
0.22,0.5612,-0.7417,9.7197,-0.001,-0.0007,-0.0005
0.24,0.5141,-0.7675,10.0536,0.0235,0.0176,0.0117
0.26,0.5967,-0.6534,10.0169,0.027,0.0203,0.0135
0.28,0.7365,-0.8491,9.8275,0.0072,0.0054,0.0036
0.3,0.4209,-0.8312,9.6772,-0.0119,-0.0089,-0.006
0.32,0.5949,-0.8222,9.7977,0.0087,0.0065,0.0044
0.34,0.4805,-0.8058,9.6609,-0.0133,-0.01,-0.0066
0.36,0.5864,-0.6941,9.7723,0.0078,0.0059,0.0039
0.38,0.535,-0.8229,9.8027,0.0073,0.0055,0.0036
0.4,0.6007,-0.7698,9.9261,0.0235,0.0177,0.0118
0.42,0.5123,-0.7434,9.8497,0.0197,0.0148,0.0098
0.44,0.556,-0.66,9.9476,0.0208,0.0156,0.0104
0.46,0.4585,-0.8612,9.6368,-0.0062,-0.0046,-0.0031
0.48,0.5204,-0.7878,9.7897,-0.0057,-0.0042,-0.0028
0.5,0.4045,-0.8078,9.6917,-0.0035,-0.0026,-0.0017
0.52,0.6134,-0.7115,9.9605,0.0212,0.0159,0.0106
0.54,0.4554,-0.903,9.4763,-0.0234,-0.0176,-0.0117
0.56,0.486,-0.7295,9.8304,0.0159,0.0119,0.0079
0.58,0.4902,-0.7561,9.8196,0.0014,0.0011,0.0007
0.6,0.4279,-0.8242,9.3783,-0.0402,-0.0302,-0.0201
0.62,0.4822,-0.8279,9.7389,0.0004,0.0003,0.0002
0.64,0.5043,-0.8489,9.686,-0.0107,-0.008,-0.0053
0.66,0.5555,-0.7996,10.0246,0.0339,0.0254,0.0169
0.68,0.337,-0.928,9.6304,-0.0186,-0.0139,-0.0093
0.7,0.4865,-0.7137,9.8607,0.0105,0.0079,0.0053
0.72,0.3402,-0.8761,9.6209,-0.0164,-0.0123,-0.0082
0.74,0.4336,-0.7992,9.5742,-0.0106,-0.008,-0.0053
0.76,0.5486,-0.7883,9.7257,0.0012,0.0009,0.0006
0.78,0.3758,-0.8612,9.4917,-0.0257,-0.0193,-0.0128
0.8,0.6509,-0.8201,9.7643,0.013,0.0098,0.0065
0.82,0.3965,-0.7999,9.5529,-0.0146,-0.011,-0.0073
0.84,0.5562,-0.8154,9.7849,0.0024,0.0018,0.0012
0.86,0.417,-0.9074,9.6067,-0.0173,-0.0129,-0.0086
0.88,0.5335,-0.788,9.7956,0.0004,0.0003,0.0002
0.9,0.3755,-0.9433,9.5643,-0.023,-0.0172,-0.0115
0.92,0.3922,-0.9847,9.3948,-0.0408,-0.0306,-0.0204
0.94,0.5834,-0.7662,9.9121,0.0246,0.0184,0.0123
0.96,0.5063,-0.8741,9.6138,-0.0125,-0.0094,-0.0063
0.98,0.3352,-0.983,9.6249,-0.0301,-0.0226,-0.0151
1.0,0.5406,-0.8681,9.6749,-0.0066,-0.005,-0.0033
1.02,0.5029,-0.8035,9.572,-0.0139,-0.0104,-0.0069
1.04,0.5697,-0.7433,9.9122,0.0234,0.0175,0.0117
1.06,0.549,-0.6864,9.8512,0.0173,0.013,0.0086
1.08,0.3313,-0.7913,9.698,-0.0061,-0.0046,-0.003
1.1,0.5481,-0.8881,9.69,-0.0031,-0.0023,-0.0015
1.12,0.504,-0.8695,9.6943,-0.0092,-0.0069,-0.0046
1.14,0.4798,-0.7293,9.6493,-0.0106,-0.0073,-0.0054
1.16,0.4267,-0.786,9.5758,-0.0148,-0.0114,-0.0074
1.18,0.5729,-0.7426,9.97,0.019,0.015,0.01
1.2,0.4478,-0.7814,9.6347,-0.0131,-0.0083,-0.0065
1.22,0.3342,-0.7978,9.6464,-0.0077,-0.0022,-0.0039
1.24,0.2382,-0.8728,9.4982,-0.0281,-0.0202,-0.018
1.26,0.3816,-0.8064,9.7402,-0.006,-0.0039,-0.0102
1.28,0.4196,-0.7505,9.7386,-0.0037,-0.0015,0.0001
1.3,0.3775,-0.8983,9.4623,-0.016,-0.0161,-0.0101
1.32,0.4393,-0.7812,9.8448,0.0114,0.0128,0.0074
1.34,0.4946,-0.8143,9.7152,-0.0098,-0.0033,0.0021
1.36,0.475,-0.898,9.6283,-0.0134,-0.0015,-0.0086
1.38,0.5256,-0.8121,9.7686,0.0085,0.0026,0.0064
1.4,0.5678,-0.6663,9.9044,0.0211,0.0157,0.0075
1.42,0.4436,-0.8415,9.7354,0.0152,0.0039,0.0087
1.44,0.4012,-0.7849,9.7235,0.0055,-0.0027,-0.007
1.46,0.4522,-0.8318,9.7357,0.0123,-0.0023,0.0041
1.48,0.4766,-0.8531,9.7379,0.0056,-0.0037,-0.0053
1.5,0.5899,-0.7076,9.7697,0.0071,0.0016,0.0004
1.52,0.4894,-0.859,9.7527,-0.0092,-0.0071,-0.0223
1.54,0.4791,-0.7579,9.9096,0.0211,0.0114,0.0115
1.56,0.5373,-0.7296,9.9439,0.0087,0.0107,0.0008
1.58,0.745,-0.5313,10.064,0.0511,0.0352,0.0145
1.6,0.578,-0.9563,9.6887,-0.0089,-0.0138,-0.0081
1.62,0.6976,-0.6265,9.9643,-0.0008,0.02,0.0037
1.64,0.4139,-0.7868,9.6397,-0.0029,-0.0059,0.0048
1.66,0.611,-0.7615,9.7904,0.0022,0.0146,-0.003
1.68,0.5634,-0.8155,9.6484,-0.0106,0.0068,-0.0148
1.7,0.2616,-1.083,9.4369,-0.0342,-0.0029,0.0116
1.72,0.5469,-0.686,9.8514,0.0253,0.014,0.0107
1.74,0.4959,-0.819,9.7017,0.0098,0.0348,-0.0131
1.76,0.5452,-0.682,9.7629,0.0084,0.0101,0.0243
1.78,0.6089,-0.7002,9.7724,0.0324,-0.0054,-0.0115
1.8,0.1841,-0.7679,9.9586,0.0237,0.0141,0.0048
1.82,0.2315,-0.7443,9.801,-0.0225,0.0293,-0.0021
1.84,0.3781,-0.7449,9.6221,-0.0089,0.0062,-0.0161
1.86,0.42,-0.7263,10.0212,0.021,0.0189,-0.0094
1.88,0.7057,-0.7869,9.8032,0.0119,0.0075,-0.0004
1.9,0.4972,-0.6442,9.791,-0.0295,0.0046,0.0229
