time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.3036,-0.0977,9.8386,0.0166,0.0124,0.0083
0.02,0.3507,-0.0863,9.872,0.0084,0.0063,0.0042
0.04,0.2453,-0.1932,9.7415,-0.013,-0.0098,-0.0065
0.06,0.5098,-0.0782,10.0633,0.0424,0.0318,0.0212
0.08,0.2764,-0.1978,9.6023,-0.0263,-0.0197,-0.0132
0.1,0.4911,-0.0921,10.008,0.0323,0.0242,0.0162
0.12,0.4299,-0.171,9.9836,0.0283,0.0212,0.0141
0.14,0.0996,-0.2478,9.5514,-0.0305,-0.0228,-0.0152
0.16,0.2086,-0.2341,9.773,-0.006,-0.0045,-0.003
0.18,0.3625,-0.0707,9.9208,0.0128,0.0096,0.0064
0.2,0.3623,-0.0742,9.768,0.0058,0.0044,0.0029
0.22,0.3243,-0.0838,9.8373,0.0091,0.0068,0.0045
0.24,0.3889,-0.1087,10.024,0.0287,0.0215,0.0143
0.26,0.3301,-0.0118,9.8926,0.0072,0.0054,0.0036
0.28,0.2861,-0.1924,9.7224,-0.0032,-0.0024,-0.0016
0.3,0.2626,-0.051,9.7809,-0.0075,-0.0056,-0.0037
0.32,0.2824,-0.1842,9.7311,-0.0075,-0.0056,-0.0037
0.34,0.1987,-0.26,9.6222,-0.0243,-0.0182,-0.0121
0.36,0.3419,-0.1873,9.7742,0.0068,0.0051,0.0034
0.38,0.3572,-0.1128,9.7955,0.0087,0.0065,0.0043
0.4,0.2147,-0.1814,9.744,-0.0018,-0.0014,-0.0009
0.42,0.3124,-0.1783,9.82,0.0095,0.0071,0.0048
0.44,0.4569,-0.1646,10.016,0.0261,0.0196,0.0131
0.46,0.4271,-0.1148,9.9996,0.0227,0.017,0.0113
0.48,0.3525,-0.1275,9.945,0.0076,0.0057,0.0038
0.5,0.2434,-0.2345,9.5853,-0.0213,-0.016,-0.0107
0.52,0.3569,-0.0763,9.9064,0.0041,0.0031,0.0021
0.54,0.2313,-0.2601,9.6833,-0.0138,-0.0104,-0.0069
0.56,0.1497,-0.2239,9.4637,-0.0371,-0.0278,-0.0185
0.58,0.2222,-0.2603,9.6502,-0.0235,-0.0176,-0.0118
0.6,0.3798,-0.0994,9.9272,0.0213,0.016,0.0107
0.62,0.1601,-0.2163,9.6113,-0.0296,-0.0222,-0.0148
0.64,0.2432,-0.1498,9.7148,-0.0095,-0.0071,-0.0047
0.66,0.5095,0.035,10.1796,0.0409,0.0307,0.0205
0.68,0.3357,-0.1033,9.9536,0.022,0.0165,0.011
0.7,0.0273,-0.3072,9.2846,-0.0659,-0.0494,-0.033
0.72,0.4137,-0.1464,9.835,0.0111,0.0083,0.0055
