time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,1.0407,-2.4813,9.4029,0.0142,0.0107,0.0071
0.02,0.9889,-2.598,9.3245,0.0018,0.0013,0.0009
0.04,1.0135,-2.4409,9.3287,0.002,0.0015,0.001
0.06,0.9303,-2.5756,9.2059,-0.0066,-0.0049,-0.0033
0.08,0.9306,-2.65,9.0774,-0.0163,-0.0122,-0.0082
0.1,0.9732,-2.4541,9.3244,0.0137,0.0103,0.0068
0.12,1.0394,-2.5115,9.5075,0.0332,0.0249,0.0166
0.14,0.9649,-2.4995,9.2868,0.0072,0.0054,0.0036
0.16,1.0105,-2.5808,9.4845,0.0186,0.0139,0.0093
0.18,1.0252,-2.5364,9.2729,0.0,0.0,0.0
0.2,0.8613,-2.5907,9.1444,-0.0238,-0.0178,-0.0119
0.22,0.9562,-2.5444,9.2197,-0.001,-0.0008,-0.0005
0.24,0.9801,-2.5732,9.229,-0.0001,-0.0001,-0.0001
0.26,0.9708,-2.5815,9.244,-0.0042,-0.0032,-0.0021
0.28,0.8954,-2.5708,9.2688,0.0016,0.0012,0.0008
0.3,1.1626,-2.4847,9.5135,0.0254,0.0191,0.0127
0.32,0.9188,-2.5558,9.2791,0.0042,0.0031,0.0021
0.34,0.8641,-2.6247,9.1263,-0.0155,-0.0116,-0.0078
0.36,1.1863,-2.4769,9.5116,0.0299,0.0224,0.015
0.38,0.8614,-2.6008,9.2857,-0.0015,-0.0011,-0.0007
0.4,1.12,-2.5144,9.3587,0.0126,0.0094,0.0063
0.42,0.9617,-2.6417,9.2966,0.0009,0.0007,0.0005
0.44,1.0178,-2.5016,9.3512,0.014,0.0105,0.007
0.46,0.9877,-2.5646,9.2405,-0.0039,-0.0029,-0.002
0.48,1.1034,-2.4367,9.463,0.0254,0.0191,0.0127
0.5,1.1442,-2.4986,9.4774,0.0213,0.0159,0.0106
0.52,0.914,-2.556,9.1564,-0.0129,-0.0097,-0.0065
0.54,1.0088,-2.5071,9.3058,0.0073,0.0055,0.0036
0.56,1.0203,-2.562,9.252,-0.0002,-0.0001,-0.0001
0.58,0.7839,-2.6127,9.1217,-0.018,-0.0135,-0.009
0.6,0.8737,-2.4485,9.3972,0.0122,0.0092,0.0061
0.62,0.8193,-2.5412,9.2197,-0.0088,-0.0066,-0.0044
0.64,0.9873,-2.5367,9.3505,0.0051,0.0038,0.0026
0.66,0.9394,-2.5489,9.1224,-0.0108,-0.0081,-0.0054
0.68,0.9752,-2.6014,9.1484,-0.0084,-0.0063,-0.0042
0.7,0.899,-2.7313,9.2181,-0.013,-0.0097,-0.0065
0.72,0.8071,-2.6273,9.0046,-0.0275,-0.0206,-0.0137
0.74,0.9077,-2.6014,9.1274,-0.0186,-0.0139,-0.0093
0.76,0.9669,-2.583,9.2244,0.0049,0.0037,0.0025
0.78,0.9159,-2.4489,9.3685,0.0042,0.0032,0.0021
0.8,1.0667,-2.5562,9.388,0.0073,0.0055,0.0036
0.82,0.9746,-2.6183,9.2562,-0.0033,-0.0025,-0.0016
0.84,0.9857,-2.5468,9.1349,-0.0048,-0.0036,-0.0024
0.86,1.1961,-2.4699,9.6072,0.0373,0.028,0.0187
0.88,0.9793,-2.5694,9.4409,0.016,0.012,0.008
0.9,0.8298,-2.5565,9.1223,-0.0157,-0.0118,-0.0079
0.92,0.9944,-2.6869,9.2486,-0.0034,-0.0026,-0.0017
0.94,1.044,-2.5923,9.2602,0.0033,0.0025,0.0017
0.96,1.1152,-2.5237,9.4329,0.0263,0.0197,0.0131
0.98,1.0202,-2.5482,9.2736,-0.0033,-0.0024,-0.0016
1.0,0.9999,-2.5563,9.3397,0.0071,0.0053,0.0035
1.02,1.0646,-2.551,9.3049,0.0102,0.0076,0.0051
1.04,0.8843,-2.5742,9.1335,-0.0181,-0.0136,-0.009
1.06,1.0565,-2.4536,9.4281,0.0184,0.0138,0.0092
1.08,1.0527,-2.562,9.3844,0.0103,0.0077,0.0052
1.1,0.9968,-2.6329,9.2075,-0.0057,-0.0042,-0.0028
1.12,0.9741,-2.5818,9.2895,0.0081,0.0061,0.004
1.14,1.0139,-2.6486,9.367,0.0113,0.0085,0.0057
1.16,1.0484,-2.3834,9.3765,0.0187,0.014,0.0093
1.18,0.9755,-2.5995,9.3335,0.006,0.0045,0.003
1.2,0.9476,-2.5942,9.2243,-0.0017,-0.0012,-0.0008
1.22,1.0602,-2.6542,9.3536,0.0093,0.0069,0.0046
1.24,1.0509,-2.525,9.4279,0.0098,0.0074,0.0049
1.26,1.0254,-2.4974,9.507,0.0289,0.0217,0.0145
1.28,0.8955,-2.6026,9.0746,-0.0262,-0.0197,-0.0131
1.3,1.1598,-2.6201,9.4775,0.0165,0.0124,0.0082
1.32,0.73,-2.53,8.8775,-0.0349,-0.0262,-0.0174
1.34,0.853,-2.5705,9.167,-0.0183,-0.0137,-0.0092
1.36,0.842,-2.5508,9.2867,-0.0013,-0.001,-0.0007
1.38,1.0765,-2.5024,9.335,0.0086,0.0064,0.0043
1.4,0.8481,-2.6135,9.1907,-0.0052,-0.0039,-0.0026
