time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.5946,-0.772,9.7889,0.0092,0.0069,0.0046
0.02,0.3803,-0.9075,9.6237,-0.0249,-0.0186,-0.0124
0.04,0.3863,-0.7652,9.7176,0.004,0.003,0.002
0.06,0.476,-0.839,9.7311,0.0008,0.0006,0.0004
0.08,0.3796,-0.8119,9.7915,-0.0116,-0.0087,-0.0058
0.1,0.5261,-0.8723,9.7698,-0.0045,-0.0034,-0.0022
0.12,0.3627,-0.8404,9.6278,-0.018,-0.0135,-0.009
0.14,0.4109,-0.8755,9.6082,-0.0279,-0.0209,-0.014
0.16,0.3207,-0.7501,9.745,-0.0073,-0.0055,-0.0036
0.18,0.2353,-0.9014,9.5029,-0.0328,-0.0246,-0.0164
0.2,0.46,-0.9067,9.6353,-0.0198,-0.0148,-0.0099
0.22,0.5371,-0.7777,9.8026,0.005,0.0037,0.0025
0.24,0.5457,-0.7647,9.8611,0.015,0.0112,0.0075
0.26,0.5104,-0.872,9.8322,0.0086,0.0064,0.0043
0.28,0.5572,-0.7805,9.7893,0.0189,0.0142,0.0094
0.3,0.4448,-0.9078,9.7114,-0.0063,-0.0047,-0.0032
0.32,0.6995,-0.7349,9.8838,0.0203,0.0152,0.0102
0.34,0.399,-0.8377,9.6971,-0.0137,-0.0103,-0.0069
0.36,0.586,-0.6343,9.8678,0.0248,0.0186,0.0124
0.38,0.362,-0.9552,9.5284,-0.0287,-0.0216,-0.0144
0.4,0.5012,-0.7384,9.7911,0.0106,0.008,0.0053
0.42,0.4592,-0.7654,9.7953,-0.0064,-0.0048,-0.0032
0.44,0.469,-0.6647,9.7382,0.0023,0.0017,0.0011
0.46,0.2893,-0.8695,9.5507,-0.0376,-0.0282,-0.0188
0.48,0.5193,-0.8509,9.8389,0.0022,0.0016,0.0011
0.5,0.5994,-0.7979,9.8701,0.0198,0.0148,0.0099
0.52,0.66,-0.7553,9.7613,0.0168,0.0126,0.0084
0.54,0.5281,-0.8156,9.6046,-0.0068,-0.0051,-0.0034
0.56,0.4503,-0.8273,9.6025,-0.0135,-0.0101,-0.0068
0.58,0.5286,-0.7086,9.7894,0.0114,0.0085,0.0057
0.6,0.5133,-0.8421,9.6538,0.0008,0.0006,0.0004
0.62,0.5177,-0.6739,9.769,0.0016,0.0012,0.0008
0.64,0.4562,-0.8617,9.7055,-0.0036,-0.0027,-0.0018
0.66,0.567,-0.7897,9.8208,0.0153,0.0114,0.0076
0.68,0.5342,-0.8522,9.7627,0.0078,0.0059,0.0039
0.7,0.4258,-0.964,9.667,-0.0256,-0.0192,-0.0128
0.72,0.414,-0.7734,9.7668,0.0043,0.0032,0.0021
0.74,0.4764,-0.8463,9.6865,0.0013,0.0009,0.0006
0.76,0.5857,-0.8041,9.782,0.0091,0.0068,0.0046
0.78,0.4858,-0.7263,9.6287,-0.0066,-0.005,-0.0033
0.8,0.4593,-0.8582,9.7341,-0.0097,-0.0073,-0.0049
0.82,0.371,-0.8935,9.6427,-0.0187,-0.014,-0.0093
0.84,0.5063,-0.8004,9.7217,-0.0045,-0.0034,-0.0023
0.86,0.3981,-0.8105,9.7167,-0.0075,-0.0057,-0.0038
0.88,0.3341,-0.8857,9.4918,-0.0384,-0.0288,-0.0192
0.9,0.5194,-0.8169,9.7286,-0.0003,-0.0002,-0.0001
0.92,0.3659,-0.8623,9.4781,-0.0267,-0.02,-0.0133
0.94,0.5641,-0.8089,9.7294,0.0032,0.0024,0.0016
0.96,0.3522,-0.7907,9.6783,-0.0145,-0.0109,-0.0073
0.98,0.3437,-0.8358,9.6866,-0.0156,-0.0117,-0.0078
1.0,0.6189,-0.7476,10.0038,0.0258,0.0194,0.0129
1.02,0.5831,-0.8351,9.7591,-0.0017,-0.0013,-0.0009
1.04,0.4078,-0.9016,9.5497,-0.0288,-0.0216,-0.0144
1.06,0.5085,-0.693,9.7749,0.0029,0.0021,0.0014
1.08,0.5268,-0.8105,9.7256,-0.0039,-0.003,-0.002
1.1,0.6401,-0.6591,10.0022,0.0344,0.0258,0.0172
1.12,0.5387,-0.8193,9.7594,-0.0021,-0.0016,-0.001
1.14,0.5012,-0.7676,9.6378,-0.0102,-0.0082,-0.0054
1.16,0.5541,-0.7257,9.8909,0.0181,0.0135,0.0086
1.18,0.4642,-0.7668,9.8107,-0.0033,-0.0015,-0.0018
1.2,0.5497,-0.7809,9.8269,0.01,0.0073,0.0033
1.22,0.3695,-0.8892,9.5474,-0.0226,-0.0143,-0.0128
1.24,0.5979,-0.7972,9.9083,0.0215,0.0172,0.0071
1.26,0.6,-0.7527,9.7475,0.0105,0.0069,0.0023
1.28,0.4238,-0.9504,9.6127,-0.0105,-0.0095,-0.0084
1.3,0.5078,-0.8998,9.7732,0.0052,0.0035,0.0014
1.32,0.4848,-0.8857,9.8885,0.0152,0.0068,0.0019
1.34,0.491,-0.7342,9.8165,0.0063,0.0084,-0.0027
1.36,0.5619,-0.7324,9.6864,-0.0039,-0.0007,-0.0062
1.38,0.5196,-0.7228,9.8516,0.0091,0.0084,-0.0027
1.4,0.6578,-0.6351,9.8229,0.0086,0.0171,0.0031
1.42,0.3619,-0.8703,9.6632,-0.0117,-0.0046,-0.001
1.44,0.3804,-0.8718,9.715,-0.0121,-0.0065,0.0028
1.46,0.4567,-0.7845,9.7738,0.0053,0.0088,0.0035
1.48,0.7235,-0.7711,9.7853,0.0168,0.0097,0.0008
1.5,0.3067,-0.8288,9.6229,-0.0057,-0.0107,-0.0214
1.52,0.2817,-0.8905,9.6287,-0.0369,-0.017,-0.0052
1.54,0.5088,-0.9225,9.7182,-0.0085,-0.0032,-0.0078
1.56,0.4882,-0.8101,9.7078,-0.0047,0.0185,0.0001
1.58,0.5364,-0.6817,9.7481,0.0076,0.0076,0.0132
1.6,0.3695,-0.8675,9.8152,0.0024,0.0113,-0.0105
1.62,0.4414,-0.719,9.8708,0.024,0.0214,0.0083
1.64,0.5056,-0.7591,9.8425,0.0119,0.0174,-0.0062
1.66,0.5806,-0.8144,9.656,-0.0019,0.0055,-0.0144
1.68,0.6615,-0.5418,10.0473,0.0185,0.043,0.0169
1.7,0.6706,-0.7893,9.8133,0.0187,0.0117,-0.0224
1.72,0.5915,-0.8132,9.7945,0.0085,0.011,0.0243
1.74,0.5904,-0.7103,9.6952,-0.0005,0.0067,0.0133
1.76,0.7566,-0.8108,9.8832,0.0119,0.0175,0.0241
1.78,0.6929,-0.837,9.581,-0.0031,-0.011,-0.0182
1.8,0.5579,-0.8063,9.8995,0.018,0.0282,0.006
1.82,0.7238,-0.7249,9.9658,0.019,0.0265,-0.0057
1.84,0.776,-0.7593,9.9884,0.0191,0.0268,0.0201
1.86,0.3383,-0.9743,9.7551,-0.0113,-0.0024,0.0013
1.88,0.8228,-0.6552,9.9911,0.0149,0.0076,0.0364
1.9,0.4974,-0.7121,9.9468,0.013,-0.0087,0.0268
1.92,0.8171,-0.841,9.9446,0.0754,0.0059,0.0186
1.94,0.73,-0.9813,9.6003,0.0912,0.0227,0.0307
1.96,0.5927,-0.6747,9.531,0.1145,0.0518,0.013
1.98,0.6497,-0.8139,9.4709,0.0841,0.0786,-0.0435
2.0,0.3065,-1.1794,9.1129,-0.0141,-0.0318,-0.0748
2.02,0.6497,-0.9519,9.1382,-0.1761,-0.0982,-0.152
2.04,0.2142,-0.8079,9.0244,-0.3668,-0.1855,-0.1823
2.06,0.1549,-0.6896,9.3062,-0.5289,-0.1602,-0.2561
2.08,-0.3153,-0.5145,10.0207,-0.528,0.0026,-0.1819
2.1,-0.0818,-0.5149,11.7775,-0.3472,0.206,-0.1217
2.12,0.4696,-0.5595,12.5009,0.0352,0.3221,-0.0117
2.14,1.2293,-0.6816,11.3761,0.3445,0.1679,0.143
2.16,1.4138,-0.7928,9.8101,0.549,0.0388,0.2301
2.18,1.1153,-0.9653,9.0083,0.5585,-0.1782,0.2681
2.2,0.8034,-0.9234,8.9516,0.4228,-0.1981,0.1785
2.22,0.545,-0.9335,9.1633,0.2001,-0.0901,0.1842
2.24,0.4522,-0.8582,9.4865,0.0181,0.0553,0.0944
2.26,0.4489,-0.8471,9.6355,-0.1411,0.0813,0.0277
2.28,0.3902,-0.8862,9.5199,-0.1282,0.0869,-0.0288
2.3,0.3207,-1.0214,9.6097,-0.1005,0.019,-0.0042
2.32,0.5653,-0.7484,9.7758,-0.0506,-0.0237,-0.0296
2.34,0.5766,-1.0062,9.794,-0.0685,-0.0275,-0.0408
2.36,0.8138,-0.8063,10.0764,0.0704,0.0025,-0.0032
2.38,0.6052,-0.6676,9.9331,0.0034,0.0378,-0.0428
2.4,0.7011,-0.9047,9.6907,0.0719,0.0278,-0.014
2.42,0.8357,-0.7214,9.8682,0.0159,0.0305,0.0276
2.44,0.4648,-0.52,9.75,-0.0308,-0.0122,0.0334
2.46,0.4088,-0.7935,10.0559,-0.0022,0.0221,-0.0315
2.48,0.7255,-0.7313,10.0382,0.0406,-0.0138,-0.0117
2.5,0.7923,-0.9597,9.9071,0.0558,0.0146,0.0103
2.52,0.5952,-0.8952,9.6932,0.0944,-0.0016,-0.0872
2.54,0.58,-0.7181,9.4585,0.1017,0.0006,-0.0256
2.56,0.8524,-0.4353,9.3044,0.1398,0.0885,0.0129
2.58,0.6194,-0.6311,9.3053,0.1058,0.0917,0.0619
2.6,0.7161,-0.5763,9.2491,-0.0572,-0.0637,0.1436
2.62,0.2472,-0.7337,9.0803,-0.2833,-0.1717,0.2084
2.64,0.259,-0.6456,9.1418,-0.5156,-0.2379,0.2361
2.66,-0.1049,-0.9344,9.4848,-0.5995,-0.1009,0.256
2.68,-0.2887,-1.0601,10.5444,-0.5367,0.0902,0.2021
2.7,-0.1677,-1.3034,11.8547,-0.2439,0.2695,0.0566
2.72,1.104,-1.1896,12.0895,0.1624,0.3052,-0.0506
2.74,1.4796,-0.9102,10.8726,0.4672,0.114,-0.1886
2.76,1.4222,-0.9163,9.6106,0.6208,-0.0853,-0.2843
2.78,0.8093,-1.1645,8.7942,0.5309,-0.2534,-0.2783
2.8,0.7146,-0.8438,8.9068,0.3396,-0.2158,-0.2084
2.82,0.4886,-0.8709,9.1869,0.0767,-0.0544,-0.1486
2.84,0.5185,-0.4999,8.9814,-0.0793,0.0427,-0.0654
2.86,0.5553,-0.6748,9.3903,-0.1781,0.0765,0.0249
2.88,0.3797,-0.8553,9.6042,-0.1752,0.0381,0.0368
2.9,0.327,-0.6756,9.615,-0.0771,-0.0198,0.0184
2.92,0.3253,-0.7457,9.9473,-0.0491,-0.0152,0.0389
2.94,0.5604,-0.9489,10.0683,0.0202,0.0015,-0.0161
2.96,0.4046,-0.6455,9.9728,0.0143,0.0386,-0.0137
2.98,0.4426,-1.0349,9.8568,0.0051,0.0186,-0.0352
3.0,0.5664,-0.5881,9.9212,0.0183,0.0376,0.0486
3.02,0.3836,-0.9794,9.6211,-0.0154,0.0092,0.0213
3.04,0.3731,-0.8411,9.5403,-0.0329,0.0042,-0.0136
3.06,0.6488,-0.8834,9.8881,0.0271,0.0217,-0.0178
3.08,0.3528,-0.8482,9.6453,0.0308,-0.0093,0.028
3.1,0.5256,-1.0267,9.5281,0.0901,-0.025,0.0402
3.12,0.2064,-1.1448,9.1332,0.0863,0.0367,-0.02
3.14,0.9512,-0.7252,9.4788,0.1922,0.1123,0.0239
3.16,0.4818,-0.8294,9.2026,0.0566,0.0421,-0.0807
3.18,0.3705,-0.8619,9.1421,-0.1126,-0.0602,-0.1353
3.2,0.2802,-1.0309,9.0339,-0.3111,-0.1628,-0.2261
3.22,0.1213,-1.0859,8.7062,-0.554,-0.2409,-0.2598
3.24,-0.2073,-0.7623,9.2025,-0.6035,-0.1181,-0.2461
3.26,-0.4298,-0.605,10.2446,-0.4871,0.1359,-0.2057
3.28,0.3277,-0.5265,12.2037,-0.2184,0.3174,-0.0537
3.3,0.5732,-0.9471,11.748,0.1791,0.2869,0.0666
3.32,1.2534,-0.4908,10.8181,0.4944,0.1378,0.172
3.34,1.4765,-0.8724,9.1802,0.6294,-0.1254,0.2099
3.36,0.9109,-0.5824,9.056,0.5692,-0.2345,0.29
3.38,0.6775,-1.0066,8.6853,0.3075,-0.2017,0.2468
3.4,0.6576,-0.9912,9.1826,0.1067,-0.0469,0.1626
3.42,0.2214,-1.0905,8.9855,-0.1362,0.0258,0.0373
3.44,-0.0503,-1.2408,9.076,-0.2201,0.1012,-0.0056
3.46,0.5072,-0.7704,9.6475,-0.1256,0.0601,-0.0149
3.48,0.6204,-0.6864,9.8458,-0.0746,0.0141,0.0002
3.5,0.3226,-1.0605,9.7267,-0.0686,-0.0429,-0.0495
3.52,0.3794,-0.8991,9.9967,-0.0233,-0.0116,-0.0181
3.54,0.6072,-0.9274,9.7622,-0.0014,-0.0048,-0.0198
3.56,0.4522,-0.9773,9.8589,0.0095,0.0174,0.0405
3.58,0.6437,-0.7254,9.9213,0.0073,0.0193,-0.0089
3.6,0.55,-1.034,9.8872,0.0252,0.0153,-0.0216
3.62,0.5984,-0.8333,9.8861,0.1062,0.0388,-0.0126
3.64,0.701,-0.6313,9.8676,0.1534,0.0272,-0.0254
3.66,0.1458,-0.8073,9.4013,0.1316,0.0619,0.0008
3.68,0.3513,-0.7289,9.4586,0.1471,0.0747,-0.0061
3.7,0.5541,-0.4297,9.2345,0.0976,0.0757,0.0635
3.72,0.4813,-0.7944,8.8563,-0.1077,-0.1032,0.1339
3.74,0.2335,-1.1034,8.7102,-0.3513,-0.1865,0.2006
3.76,-0.0249,-1.0313,8.9836,-0.5757,-0.2038,0.2143
3.78,-0.3894,-1.0368,9.5617,-0.5759,-0.0522,0.2361
3.8,-0.2674,-0.9495,10.9477,-0.4206,0.1569,0.1524
3.82,0.4463,-1.2912,12.0613,-0.0993,0.2717,0.0568
3.84,0.7758,-1.2155,11.6515,0.2363,0.2617,-0.1121
3.86,1.4662,-0.8565,10.5816,0.514,0.0624,-0.1855
3.88,0.9957,-1.0015,9.2167,0.5736,-0.1446,-0.2423
3.9,0.5515,-0.9678,8.7346,0.4319,-0.2337,-0.2515
3.92,0.7951,-0.8213,9.0389,0.2025,-0.1588,-0.1645
3.94,0.7672,-0.7541,9.2171,0.0325,-0.0583,-0.0744
3.96,0.3756,-0.678,9.3275,-0.1043,0.0917,-0.0342
3.98,0.3096,-0.7596,9.4852,-0.152,0.1028,-0.0023
4.0,0.2038,-0.9825,9.6015,-0.1574,0.0497,0.0478
4.02,0.377,-0.7712,9.9459,-0.0789,-0.0034,0.0641
4.04,0.4355,-0.6435,9.9556,-0.0036,-0.0183,0.0191
4.06,0.6691,-0.5703,10.1029,-0.011,-0.0205,0.0192
4.08,0.5696,-0.7873,9.8415,-0.0222,-0.0367,-0.0038
4.1,0.3247,-0.5684,9.5936,-0.0092,0.0214,0.0181
4.12,0.5146,-0.658,9.9604,0.0153,-0.0156,-0.003
4.14,0.4985,-0.892,10.086,0.0062,-0.0177,0.0409
4.16,0.6993,-0.7672,10.0152,0.0883,0.0446,0.0442
4.18,0.7057,-0.9435,9.6169,0.0842,0.0052,0.0188
4.2,0.7384,-1.0117,9.4355,0.1578,0.0472,0.023
4.22,0.6277,-0.933,9.306,0.1812,0.1125,-0.0064
4.24,0.531,-0.968,9.3384,0.0728,0.0195,-0.0783
4.26,0.5357,-0.9222,9.0547,-0.0902,-0.0843,-0.1498
4.28,0.3885,-1.0131,9.1677,-0.2914,-0.1789,-0.2349
4.3,0.1441,-0.6567,8.9822,-0.5253,-0.2361,-0.2515
4.32,-0.2822,-0.5817,9.5312,-0.6074,-0.1138,-0.3042
4.34,-0.1987,-0.2988,10.9328,-0.5613,0.1442,-0.2056
4.36,0.1328,-0.3354,12.3239,-0.1633,0.3188,-0.0534
4.38,1.0223,-0.3094,12.2518,0.2058,0.2697,0.1258
4.4,1.1807,-0.6261,10.5702,0.4902,0.0531,0.1442
4.42,1.5779,-0.5848,9.3253,0.6488,-0.1145,0.2513
4.44,0.9965,-0.7919,8.8859,0.5374,-0.2626,0.2934
4.46,1.1276,-0.6015,9.3881,0.3478,-0.1728,0.2116
4.48,0.5649,-0.79,9.3042,0.0725,-0.0563,0.1139
4.5,0.2491,-0.9569,9.2314,-0.1523,0.0529,0.0184
4.52,0.2897,-0.9683,9.5148,-0.1737,0.0925,-0.0162
4.54,0.4575,-1.041,9.41,-0.1573,0.04,-0.055
4.56,0.3825,-0.6763,9.7354,-0.0413,0.0765,-0.0203
4.58,0.2718,-0.7932,9.8901,-0.0744,-0.0335,-0.0064
4.6,0.6392,-0.783,9.9913,0.0162,0.0093,-0.0261
4.62,0.6254,-0.7869,9.7263,-0.0016,0.0075,-0.0005
4.64,0.4893,-0.876,9.939,-0.0104,-0.0015,0.0134
4.66,0.7094,-0.7271,9.9187,-0.0055,0.0015,0.0179
4.68,0.73,-0.9413,9.6629,-0.0336,-0.0109,-0.0029
4.7,0.4953,-0.8962,9.7737,0.0089,0.0127,0.0053
4.72,0.6133,-0.8095,9.7348,0.0264,0.0244,0.0178
4.74,0.9368,-0.9258,9.8015,-0.0078,0.0039,0.0358
4.76,0.5573,-0.7699,10.0526,0.0132,-0.0223,0.0084
4.78,0.6809,-0.7492,10.0081,0.0468,-0.0253,-0.0392
4.8,0.8447,-0.8608,9.5864,0.1213,0.0061,-0.0186
4.82,0.4512,-0.8275,9.5451,0.1533,0.0758,-0.0408
4.84,0.4646,-0.7214,9.6059,0.1284,0.0867,-0.0062
4.86,0.5824,-1.034,9.2176,0.044,0.0176,0.0391
4.88,0.3192,-0.6118,9.2051,-0.0808,-0.0216,0.1138
4.9,0.5653,-0.5833,9.1649,-0.2947,-0.1465,0.2114
4.92,0.103,-0.8476,9.0917,-0.4595,-0.1681,0.2334
4.94,-0.2933,-1.086,9.5137,-0.551,-0.1078,0.2318
4.96,0.0131,-0.9473,10.6835,-0.3805,0.1098,0.1273
4.98,0.3615,-1.0085,12.0998,-0.0909,0.2639,0.0217
5.0,0.6801,-1.2941,11.2171,0.1999,0.2194,-0.0996
5.02,1.0507,-0.8165,10.5527,0.4916,0.0597,-0.1952
5.04,1.2875,-0.9363,9.2799,0.5474,-0.1101,-0.1988
5.06,0.6812,-0.8527,9.1603,0.459,-0.1999,-0.2183
5.08,0.468,-0.9715,9.0305,0.1992,-0.1637,-0.1908
5.1,0.3481,-0.7515,9.3345,0.0813,0.0105,-0.0702
5.12,0.366,-0.5838,9.4348,-0.064,0.0712,-0.0388
5.14,0.2307,-0.7449,9.3271,-0.1812,0.0912,-0.0062
5.16,0.5737,-1.1374,9.3628,-0.1167,0.0438,0.0012
5.18,0.4765,-0.8175,9.6883,-0.0906,0.0018,0.0469
5.2,0.4741,-0.7759,9.8139,-0.0413,-0.0128,-0.0074
5.22,0.5932,-0.6529,10.067,-0.0021,0.0198,0.0321
5.24,0.3319,-0.9573,9.6154,-0.0168,-0.0416,0.0024
5.26,0.4499,-1.0241,9.6396,-0.0001,0.0145,0.0154
5.28,0.632,-0.7485,9.5936,0.0382,-0.0218,0.004
5.3,0.5023,-0.9658,9.6105,0.0425,-0.0015,0.042
5.32,0.6587,-0.8945,9.5968,0.1248,0.0609,0.0267
5.34,0.5155,-1.1126,9.517,0.1993,0.068,0.0182
5.36,0.574,-0.7846,9.3923,0.1208,0.0685,-0.003
5.38,0.4937,-0.8962,9.1095,-0.0093,0.0037,-0.0875
5.4,0.511,-0.8333,8.9829,-0.2679,-0.1342,-0.1301
5.42,0.0767,-0.7939,8.989,-0.4391,-0.1937,-0.2509
5.44,-0.426,-0.8941,9.1042,-0.566,-0.14,-0.2592
5.46,-0.2649,-0.4349,10.1581,-0.5094,0.0206,-0.2013
5.48,-0.1661,-0.5778,11.3578,-0.2633,0.2186,-0.1257
5.5,0.5667,-0.5904,11.9361,0.0996,0.3143,0.0298
5.52,1.0848,-0.3552,11.386,0.3799,0.1888,0.1509
5.54,1.0294,-0.8496,9.5212,0.5593,-0.0587,0.2215
5.56,0.9781,-0.8413,8.9052,0.5784,-0.2364,0.2357
5.58,0.7677,-0.7345,8.9707,0.3979,-0.2123,0.2169
5.6,0.4789,-1.0685,9.1915,0.1525,-0.0892,0.1182
5.62,0.1737,-1.1132,9.0328,-0.0335,0.015,0.0472
5.64,0.1971,-1.2469,9.2197,-0.1291,0.0632,0.013
5.66,0.0781,-0.9543,9.6603,-0.1501,0.0732,-0.0426
5.68,0.1375,-0.9422,9.5028,-0.1141,0.0304,-0.0579
5.7,0.21,-0.768,9.8911,-0.0767,0.018,-0.0442
5.72,0.5948,-0.8653,10.1135,0.0005,0.0056,0.0049
5.74,0.7716,-0.85,9.7531,0.031,0.0184,-0.0063
5.76,0.0873,-1.0846,9.565,-0.0309,0.0273,-0.025
5.78,0.5359,-1.158,9.7086,0.0116,0.0281,0.0291
5.8,0.5467,-0.7767,9.9243,-0.02,-0.0055,-0.0033
5.82,0.5875,-0.7351,9.818,0.0516,-0.0043,-0.0055
5.84,0.5012,-0.8759,9.6238,0.0669,0.0191,-0.0694
5.86,0.6522,-0.7343,9.5053,0.1818,0.0494,-0.0457
5.88,0.4656,-0.9783,9.3503,0.1636,0.0928,-0.0396
5.9,0.1645,-0.8337,9.1442,0.146,0.0941,0.0253
5.92,0.4649,-0.9178,9.0516,0.05,-0.0264,0.099
5.94,0.3334,-0.5989,8.8539,-0.2,-0.1551,0.1984
5.96,-0.0477,-0.7422,8.6857,-0.5262,-0.2761,0.2672
5.98,-0.3485,-0.9174,9.0545,-0.7012,-0.2175,0.302
6.0,-0.7114,-0.874,9.7478,-0.6833,-0.0046,0.2766
6.02,-0.6477,-1.1556,11.6936,-0.4307,0.2568,0.1493
6.04,0.6831,-1.1337,12.9032,0.002,0.3548,-0.0027
6.06,1.1807,-1.1121,11.8409,0.3861,0.2162,-0.1791
6.08,1.6749,-0.9307,10.1458,0.7354,-0.0368,-0.2566
6.1,1.2101,-0.5821,9.0551,0.7122,-0.2153,-0.3295
6.12,0.8558,-0.9708,8.754,0.4842,-0.2576,-0.2897
6.14,0.3139,-0.8213,8.9601,0.2197,-0.1796,-0.1997
6.16,0.6387,-0.8037,8.7517,-0.0452,0.0136,-0.0897
6.18,0.4138,-0.5602,9.4229,-0.1548,0.1116,-0.0207
6.2,0.3294,-0.6582,9.3349,-0.188,0.0906,-0.0131
6.22,0.3627,-0.6917,9.5,-0.2018,0.0382,0.056
6.24,0.1816,-0.7184,9.8095,-0.0953,-0.0137,0.0297
6.26,0.498,-0.9355,9.835,-0.04,-0.0053,0.0028
6.28,0.6565,-0.8413,9.8761,0.0299,-0.0116,0.0054
6.3,0.4936,-0.9161,9.7501,0.0024,-0.0223,0.001
6.32,0.3871,-0.8953,9.9037,-0.0031,-0.0067,0.0094
6.34,0.2278,-0.9712,9.6292,-0.0186,-0.028,-0.0347
6.36,0.6052,-0.8783,9.7262,-0.0004,-0.0171,0.0166
6.38,0.6256,-0.745,10.0241,0.0237,0.0282,-0.0069
