time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.2173,-0.216,9.6351,-0.0197,-0.0148,-0.0099
0.02,0.3962,-0.1164,9.8653,0.0075,0.0056,0.0037
0.04,0.182,-0.2011,9.6235,-0.0211,-0.0158,-0.0105
0.06,0.3077,-0.1909,9.7524,-0.0066,-0.005,-0.0033
0.08,0.288,-0.1248,9.8889,0.0115,0.0086,0.0057
0.1,0.309,-0.118,9.8703,0.0103,0.0078,0.0052
0.12,0.1874,-0.2585,9.6714,-0.0119,-0.009,-0.006
0.14,0.5073,0.1184,10.0615,0.0378,0.0284,0.0189
0.16,0.4172,0.0166,9.9716,0.0229,0.0172,0.0115
0.18,0.2273,-0.2036,9.7331,-0.0086,-0.0064,-0.0043
0.2,0.1507,-0.2648,9.6415,-0.0315,-0.0237,-0.0158
0.22,0.3439,-0.1339,9.8081,0.0071,0.0053,0.0036
0.24,0.4485,-0.1129,9.84,0.0095,0.0071,0.0047
0.26,0.338,-0.1336,9.8094,0.0026,0.0019,0.0013
0.28,0.3089,-0.142,9.8101,0.0056,0.0042,0.0028
0.3,0.1466,-0.3258,9.6757,-0.0254,-0.019,-0.0127
0.32,0.4714,0.0163,9.9665,0.0296,0.0222,0.0148
0.34,0.4298,-0.074,9.8923,0.0179,0.0134,0.0089
0.36,0.2221,-0.2058,9.5172,-0.0253,-0.019,-0.0126
0.38,0.2537,-0.1584,9.7286,-0.0038,-0.0029,-0.0019
0.4,0.3215,-0.0307,9.9627,0.0177,0.0133,0.0089
0.42,0.2476,-0.2095,9.8245,-0.0003,-0.0002,-0.0001
0.44,0.4199,-0.1123,9.9661,0.0142,0.0107,0.0071
0.46,0.3052,-0.2739,9.648,-0.0199,-0.0149,-0.0099
0.48,0.4104,-0.1266,9.9225,0.0161,0.012,0.008
0.5,0.2916,-0.0227,9.9559,0.0113,0.0085,0.0056
0.52,0.1375,-0.2635,9.5443,-0.0293,-0.022,-0.0147
0.54,0.0783,-0.4265,9.4422,-0.0402,-0.0302,-0.0201
0.56,0.3118,-0.1282,10.1319,0.0183,0.0137,0.0091
0.58,0.0351,-0.3197,9.5176,-0.038,-0.0285,-0.019
0.6,0.3536,-0.055,9.8982,0.0152,0.0114,0.0076
0.62,0.3952,-0.0748,9.8438,0.009,0.0068,0.0045
0.64,0.438,-0.1294,9.8819,0.0165,0.0124,0.0083
0.66,0.3775,-0.1672,9.7556,-0.0019,-0.0014,-0.0009
0.68,0.1408,-0.3118,9.5935,-0.0215,-0.0161,-0.0107
0.7,0.2094,-0.1479,9.7315,-0.0059,-0.0044,-0.0029
0.72,0.259,-0.1748,9.7227,-0.0089,-0.0067,-0.0044
0.74,0.3346,-0.0578,9.9634,0.0182,0.0136,0.0091
0.76,0.3357,-0.1286,9.8295,0.0011,0.0008,0.0006
0.78,0.339,-0.077,9.8617,0.0121,0.0091,0.0061
0.8,0.1818,-0.286,9.6134,-0.023,-0.0172,-0.0115
0.82,0.4304,-0.0184,10.0132,0.0296,0.0222,0.0148
0.84,0.4812,0.0245,10.0173,0.0326,0.0244,0.0163
0.86,0.241,-0.2116,9.6722,-0.0106,-0.0079,-0.0053
0.88,0.093,-0.3047,9.4971,-0.0304,-0.0228,-0.0152
0.9,0.415,-0.0773,9.834,0.0215,0.0161,0.0108
0.92,0.2353,-0.1086,9.6922,-0.0109,-0.0082,-0.0054
0.94,0.3106,-0.0427,9.7835,0.0003,0.0003,0.0002
0.96,0.3938,-0.0097,9.9143,0.025,0.0188,0.0125
0.98,0.2476,-0.2232,9.7966,-0.0018,-0.0014,-0.0009
1.0,0.3691,-0.1396,9.6729,-0.0091,-0.0069,-0.0046
1.02,0.3104,-0.1414,9.6901,-0.0034,-0.0026,-0.0017
1.04,0.3888,-0.0763,9.8636,0.0156,0.0117,0.0078
1.06,0.1926,-0.2674,9.6738,-0.0244,-0.0183,-0.0122
1.08,0.3164,-0.0391,9.8797,0.0085,0.0064,0.0042
1.1,0.1392,-0.1621,9.6973,-0.0149,-0.0111,-0.0074
1.12,0.3542,-0.1302,9.8715,0.0148,0.0111,0.0074
1.14,0.351,-0.1525,9.9208,0.0156,0.0117,0.0078
1.16,0.2268,-0.2381,9.6278,-0.0169,-0.0127,-0.0084
1.18,0.3666,-0.0919,9.7965,0.008,0.006,0.004
1.2,0.362,-0.0289,9.9328,0.0173,0.013,0.0087
1.22,0.1522,-0.1233,9.5891,-0.0205,-0.0154,-0.0102
