time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.2744,-0.2602,9.7533,-0.0,0.0,-0.0
0.02,0.2605,-0.2169,9.7664,0.0,-0.0,-0.0
0.04,0.3592,-0.2434,9.8092,-0.0,-0.0,0.0
0.06,0.2992,-0.3007,9.7465,-0.0,0.0,0.0
0.08,0.263,-0.2105,9.7713,-0.0,-0.0,0.0
0.1,0.285,-0.2397,9.7524,0.0,0.0,-0.0
0.12,0.2368,-0.214,9.7255,0.0,-0.0,0.0
0.14,0.198,-0.2847,9.7487,-0.0,0.0,-0.0
0.16,0.2865,-0.2103,9.8236,-0.0,0.0,0.0
0.18,0.2209,-0.2228,9.7398,0.0,0.0,0.0
0.2,0.2721,-0.1616,9.8105,-0.0,-0.0,0.0
0.22,0.2663,-0.2898,9.7445,0.0,-0.0,-0.0
0.24,0.2688,-0.1381,9.7937,0.0,-0.0,-0.0
0.26,0.2849,-0.2348,9.7485,-0.0,0.0,-0.0
0.28,0.288,-0.1877,9.7583,0.0,-0.0,0.0
0.3,0.2946,-0.1906,9.8595,-0.0,0.0,-0.0
0.32,0.2362,-0.1785,9.7542,0.0,0.0,0.0
0.34,0.2905,-0.1472,9.7932,-0.0,0.0,-0.0
0.36,0.3091,-0.2809,9.7776,0.0,-0.0,-0.0
0.38,0.2444,-0.2254,9.7556,0.0,-0.0,0.0
0.4,0.2472,-0.2301,9.7627,0.0,-0.0,-0.0
0.42,0.3223,-0.2873,9.8416,-0.0,-0.0,0.0
0.44,0.263,-0.2406,9.7138,0.0,-0.0,-0.0
0.46,0.1934,-0.2313,9.8454,-0.0,-0.0,0.0
0.48,0.237,-0.215,9.7707,0.0,0.0,-0.0
0.5,0.2998,-0.1828,9.7688,0.0,0.0,-0.0
0.52,0.2549,-0.194,9.7518,-0.0,0.0,0.0
0.54,0.3037,-0.1832,9.7345,0.0,-0.0,-0.0
0.56,0.2595,-0.3083,9.7529,0.0,-0.0,-0.0
0.58,0.2866,-0.2524,9.7195,-0.0,0.0,-0.0
0.6,0.2277,-0.1966,9.7246,-0.0,-0.0,0.0
0.62,0.2514,-0.2635,9.722,-0.0,-0.0,-0.0
0.64,0.2317,-0.1844,9.7722,-0.0,-0.0,-0.0
0.66,0.1926,-0.1725,9.741,0.0,0.0,-0.0
0.68,0.2645,-0.2587,9.7301,-0.0,-0.0,0.0
0.7,0.2335,-0.2548,9.7307,-0.0,0.0,0.0
0.72,0.2909,-0.1766,9.7427,0.0,-0.0,0.0
0.74,0.2793,-0.1825,9.7365,0.0,0.0,0.0
0.76,0.287,-0.307,9.8386,0.0,0.0,-0.0
0.78,0.2428,-0.2243,9.785,0.0,-0.0,0.0
0.8,0.295,-0.2552,9.7662,0.0,-0.0,0.0
0.82,0.2321,-0.1803,9.6733,0.0,0.0,-0.0
0.84,0.3307,-0.1684,9.7353,-0.0,0.0,-0.0
0.86,0.2202,-0.1654,9.7517,0.0,0.0,-0.0
0.88,0.2185,-0.253,9.8008,-0.0,-0.0,0.0
0.9,0.2743,-0.2425,9.8129,0.0,0.0,0.0
0.92,0.2474,-0.256,9.7367,0.0,0.0,0.0
0.94,0.2996,-0.2164,9.7093,0.0,0.0,0.0
0.96,0.2612,-0.2908,9.8036,0.0,0.0,-0.0
0.98,0.2316,-0.2423,9.8332,-0.0,-0.0,0.0
1.0,0.214,-0.2727,9.7273,-0.0,-0.0,0.0
1.02,0.2755,-0.2198,9.7879,-0.0,-0.0,-0.0
1.04,0.2679,-0.2158,9.7076,-0.0,0.0,0.0
1.06,0.2557,-0.2626,9.7353,0.0,0.0,0.0
1.08,0.274,-0.274,9.6767,0.0,-0.0,-0.0
1.1,0.2592,-0.3094,9.8032,-0.0,-0.0,-0.0
1.12,0.2418,-0.2877,9.7367,-0.0,0.0,-0.0
1.14,0.2728,-0.225,9.7645,0.0,-0.0,-0.0
1.16,0.2911,-0.2646,9.7769,0.0,0.0,-0.0
1.18,0.3278,-0.2554,9.8182,-0.0,0.0,-0.0
1.2,0.3314,-0.2418,9.7099,-0.0,-0.0,0.0
1.22,0.2779,-0.1999,9.8099,-0.0,-0.0,-0.0
1.24,0.2908,-0.2193,9.7198,0.0,0.0,-0.0
1.26,0.2901,-0.2272,9.7787,-0.0,-0.0,-0.0
1.28,0.2571,-0.2547,9.7469,0.0,-0.0,0.0
1.3,0.1763,-0.1774,9.7879,0.0,-0.0,-0.0
1.32,0.2604,-0.2667,9.8305,-0.0,0.0,0.0
1.34,0.2721,-0.3112,9.7202,0.0,0.0,-0.0
1.36,0.2863,-0.2165,9.7853,0.0,0.0,0.0
1.38,0.2716,-0.311,9.8016,0.0,-0.0,0.0
1.4,0.2948,-0.2672,9.7463,-0.0,-0.0,-0.0
1.42,0.3082,-0.2505,9.7941,-0.0,-0.0,-0.0
1.44,0.2408,-0.1467,9.7495,0.0,0.0,0.0
1.46,0.2785,-0.2118,9.8158,0.0,0.0,0.0
1.48,0.2913,-0.2011,9.831,-0.0,0.0,-0.0
1.5,0.2543,-0.2164,9.7893,-0.0,0.0,-0.0
1.52,0.2951,-0.292,9.7132,-0.0,-0.0,-0.0
1.54,0.2566,-0.1909,9.8332,0.0,-0.0,-0.0
1.56,0.2588,-0.1812,9.7852,0.0,-0.0,0.0
1.58,0.1984,-0.2113,9.7742,-0.0,-0.0,0.0
1.6,0.2568,-0.2688,9.7664,0.0,0.0,0.0
1.62,0.264,-0.1774,9.7854,0.0,-0.0,0.0
1.64,0.2496,-0.1999,9.7416,-0.0,-0.0,0.0
1.66,0.2354,-0.2775,9.7225,-0.0,-0.0,-0.0
1.68,0.2761,-0.2488,9.7469,-0.0,0.0,0.0
1.7,0.1665,-0.2365,9.7595,0.0,0.0,-0.0
1.72,0.2787,-0.271,9.7409,0.0,0.0,-0.0
1.74,0.2394,-0.1991,9.8474,0.0,0.0,-0.0
1.76,0.1812,-0.2176,9.7567,-0.0,0.0,-0.0
1.78,0.3118,-0.2862,9.7925,-0.0,-0.0,0.0
1.8,0.2584,-0.2596,9.7838,-0.0,-0.0,-0.0
1.82,0.2001,-0.1905,9.8185,0.0,-0.0,0.0
1.84,0.2191,-0.214,9.7593,-0.0,0.0,-0.0
1.86,0.2326,-0.2166,9.8033,0.0,-0.0,-0.0
1.88,0.2915,-0.2776,9.7894,0.0,0.0,0.0
1.9,0.2389,-0.2356,9.7805,0.0,0.0,0.0
1.92,0.2136,-0.181,9.8562,-0.0,0.0,0.0
1.94,0.245,-0.2654,9.7559,0.0,0.0,-0.0
1.96,0.3339,-0.2688,9.6627,0.0,0.0,0.0
1.98,0.2565,-0.3272,9.7817,0.0,-0.0,-0.0
2.0,0.1945,-0.2579,9.7722,-0.0,0.0,-0.0
2.02,0.2422,-0.1647,9.7579,0.0,0.0,-0.0
2.04,0.2128,-0.2358,9.7368,0.0,0.0,-0.0
2.06,0.2044,-0.2629,9.7507,-0.0,0.0,-0.0
2.08,0.3024,-0.1823,9.7134,0.0,0.0,-0.0
2.1,0.2401,-0.2343,9.7436,-0.0,0.0,0.0
2.12,0.2572,-0.2726,9.6605,0.0,0.0,-0.0
2.14,0.334,-0.2699,9.7176,0.0,0.0,0.0
2.16,0.2308,-0.207,9.7483,0.0,-0.0,-0.0
2.18,0.199,-0.3037,9.7625,0.0,0.0,0.0
2.2,0.288,-0.2333,9.8164,-0.0,0.0,-0.0
2.22,0.2761,-0.3123,9.711,-0.0,-0.0,-0.0
2.24,0.2553,-0.2497,9.7744,-0.0,0.0,-0.0
2.26,0.2893,-0.2214,9.7694,-0.0,0.0,-0.0
2.28,0.2269,-0.3329,9.8157,0.0,0.0,-0.0
2.3,0.2413,-0.3221,9.7538,0.0,-0.0,-0.0
2.32,0.2543,-0.2168,9.8003,0.0,-0.0,-0.0
2.34,0.2205,-0.2364,9.7045,-0.0,0.0,-0.0
2.36,0.2873,-0.1524,9.7863,-0.0,0.0,-0.0
2.38,0.2309,-0.2729,9.7888,-0.0,0.0,-0.0
2.4,0.2659,-0.2456,9.8067,0.0,-0.0,-0.0
2.42,0.2885,-0.3103,9.8063,-0.0,-0.0,-0.0
2.44,0.2635,-0.2316,9.8186,-0.0,0.0,0.0
2.46,0.265,-0.2067,9.8004,-0.0,0.0001,0.0
2.48,0.2308,-0.2037,9.7452,-0.0004,0.0004,0.0
2.5,0.2739,-0.2191,9.7592,0.0035,0.0001,0.0006
2.52,0.2573,-0.2567,9.753,0.0018,0.0011,-0.0006
2.54,0.2567,-0.1881,9.7875,-0.0002,0.0003,-0.0
2.56,0.2801,-0.196,9.7634,0.0028,0.0018,-0.0002
2.58,0.2572,-0.2639,9.8218,0.0028,-0.0004,0.0018
2.6,0.1878,-0.3313,9.7975,-0.0072,0.0039,-0.0024
2.62,0.2085,-0.283,9.7944,0.0016,-0.0006,0.003
2.64,0.2534,-0.2273,9.7918,-0.0042,-0.0011,-0.0026
2.66,0.1565,-0.2455,9.7186,-0.0027,-0.0033,-0.0055
2.68,0.3248,-0.2291,9.7809,0.006,0.0048,0.0051
2.7,0.2593,-0.2267,9.8176,-0.0008,-0.0024,0.0026
2.72,0.2866,-0.2712,9.7259,0.0053,-0.0108,0.0006
2.74,0.2766,-0.1817,9.7218,-0.0006,-0.0055,0.0005
2.76,0.1642,-0.161,9.8082,-0.0008,0.0066,-0.0098
2.78,0.4353,-0.2596,9.8662,0.0057,-0.0002,0.0033
2.8,0.1462,-0.3205,9.688,-0.0056,0.0063,-0.0099
2.82,0.1635,-0.2017,9.7568,0.0,0.0005,-0.0033
2.84,0.3603,-0.2508,9.9237,-0.0132,0.0092,0.0006
2.86,0.1131,-0.2281,9.7625,-0.0011,-0.0067,-0.0087
2.88,0.3249,-0.1962,9.7887,0.0059,0.0108,-0.0065
2.9,0.1618,-0.3393,9.6788,0.0079,0.0054,-0.0177
2.92,0.3276,-0.109,9.7942,-0.0145,0.0022,0.0018
2.94,0.2031,-0.1072,9.6113,-0.0081,0.0131,-0.0076
2.96,0.3362,-0.0448,9.7301,-0.014,-0.007,0.0102
2.98,0.1274,-0.0078,9.9115,-0.0029,-0.0001,0.0034
3.0,0.0713,-0.1687,9.7545,-0.0074,-0.0073,0.005
3.02,0.1599,-0.2216,9.9813,-0.0104,-0.0169,0.0023
3.04,0.3631,-0.3618,10.117,0.063,-0.0122,-0.0019
3.06,0.5967,-0.2344,9.733,0.0745,0.0052,0.0455
3.08,0.5286,-0.3359,9.6232,0.1528,0.0481,0.0281
3.1,0.3293,-0.2292,9.5589,0.1853,0.1196,0.0365
3.12,0.2128,-0.1843,9.2446,0.1531,0.0982,-0.0205
3.14,0.3887,-0.3371,9.3748,0.0225,0.0257,-0.0767
3.16,-0.1157,-0.3048,9.0428,-0.2475,-0.2012,-0.1243
3.18,-0.3749,-0.1705,8.991,-0.5722,-0.3416,-0.1508
3.2,-0.6175,0.032,9.1131,-0.7907,-0.2675,-0.2044
3.22,-0.7759,0.035,9.9283,-0.7899,0.0111,-0.1788
3.24,-0.7632,0.1415,11.9228,-0.4503,0.3608,-0.1011
3.26,0.0298,0.0583,12.6004,0.0375,0.5366,0.0104
3.28,1.2646,-0.1269,12.0629,0.5102,0.3213,0.0963
3.3,1.3974,-0.3527,9.8991,0.8316,-0.0383,0.2018
3.32,1.24,-0.0062,8.9216,0.8425,-0.3303,0.1799
