time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.8558,-2.2763,9.2449,-0.0141,-0.0106,-0.0071
0.02,0.964,-2.1822,9.569,0.031,0.0232,0.0155
0.04,0.9069,-2.2639,9.5344,0.0143,0.0107,0.0072
0.06,0.7909,-2.1987,9.3548,-0.0056,-0.0042,-0.0028
0.08,0.7615,-2.1257,9.4333,0.0063,0.0047,0.0031
0.1,0.7455,-2.4052,9.313,-0.0162,-0.0122,-0.0081
0.12,0.7908,-2.2887,9.4435,-0.0044,-0.0033,-0.0022
0.14,0.8656,-2.2351,9.3234,-0.0131,-0.0098,-0.0066
0.16,0.828,-2.2138,9.5101,0.0017,0.0013,0.0008
0.18,0.7664,-2.3166,9.3526,-0.0093,-0.0069,-0.0046
0.2,0.8491,-2.3895,9.3946,-0.003,-0.0022,-0.0015
0.22,0.9437,-2.1318,9.4352,0.0099,0.0075,0.005
0.24,0.7623,-2.2441,9.3343,-0.0121,-0.0091,-0.006
0.26,0.7408,-2.1585,9.2708,-0.0102,-0.0077,-0.0051
0.28,0.8418,-2.1235,9.4754,-0.0001,-0.0001,-0.0001
0.3,0.8711,-2.2024,9.3425,-0.0033,-0.0025,-0.0017
0.32,0.8034,-2.1793,9.3845,0.0004,0.0003,0.0002
0.34,0.8738,-2.2207,9.3979,-0.0005,-0.0004,-0.0002
0.36,1.0168,-2.1759,9.5123,0.012,0.009,0.006
0.38,0.93,-2.1845,9.5112,0.0111,0.0083,0.0055
0.4,0.7868,-2.2819,9.4853,-0.0047,-0.0036,-0.0024
0.42,0.9543,-2.1977,9.4939,0.0122,0.0091,0.0061
0.44,0.8857,-2.1586,9.5283,0.0166,0.0124,0.0083
0.46,0.9878,-2.12,9.5083,0.0281,0.021,0.014
0.48,0.863,-2.3834,9.4153,-0.0053,-0.004,-0.0027
0.5,0.8769,-2.1517,9.5985,0.0172,0.0129,0.0086
0.52,0.7684,-2.3708,9.3421,-0.014,-0.0105,-0.007
0.54,0.8031,-2.2549,9.3686,0.0035,0.0026,0.0017
0.56,1.0183,-2.1135,9.4726,0.0169,0.0127,0.0085
0.58,0.8748,-2.3029,9.5244,0.013,0.0098,0.0065
0.6,0.8269,-2.2217,9.4175,0.0051,0.0038,0.0026
0.62,0.6621,-2.3018,9.2994,-0.0316,-0.0237,-0.0158
0.64,0.6719,-2.2814,9.2212,-0.024,-0.018,-0.012
0.66,0.8922,-2.2566,9.4451,0.006,0.0045,0.003
0.68,0.7201,-2.4014,9.33,-0.0186,-0.014,-0.0093
0.7,0.8683,-2.1773,9.528,0.0136,0.0102,0.0068
0.72,0.8986,-2.2907,9.4489,0.0034,0.0025,0.0017
0.74,0.8035,-2.23,9.2438,-0.0109,-0.0082,-0.0054
0.76,0.8414,-2.2918,9.3362,-0.0171,-0.0128,-0.0085
0.78,0.7659,-2.2398,9.2852,-0.0193,-0.0145,-0.0097
0.8,0.9205,-2.2283,9.4717,0.0135,0.0101,0.0067
0.82,0.8977,-2.3309,9.3313,-0.0015,-0.0011,-0.0008
0.84,0.8613,-2.2339,9.4094,-0.0025,-0.0019,-0.0013
0.86,0.8204,-2.2101,9.2983,-0.0238,-0.0179,-0.0119
0.88,0.9134,-2.219,9.4388,0.0016,0.0012,0.0008
0.9,0.9739,-2.1737,9.4592,0.0116,0.0087,0.0058
0.92,0.9379,-2.1751,9.4521,0.0023,0.0017,0.0012
0.94,0.8504,-2.286,9.367,-0.0103,-0.0078,-0.0052
0.96,0.8414,-2.2221,9.4095,-0.0037,-0.0028,-0.0019
0.98,0.8842,-2.298,9.3423,0.0056,0.0042,0.0028
1.0,0.8776,-2.2505,9.3473,-0.0054,-0.004,-0.0027
1.02,0.8702,-2.2372,9.4473,-0.0021,-0.0016,-0.0011
1.04,0.6895,-2.2688,9.4395,0.0022,0.0017,0.0011
1.06,0.8167,-2.2093,9.4577,0.0024,0.0018,0.0012
1.08,0.8161,-2.2563,9.2533,-0.0172,-0.0129,-0.0086
1.1,0.7798,-2.233,9.3923,0.0055,0.0041,0.0028
1.12,0.8404,-2.2592,9.4481,0.0051,0.0038,0.0025
1.14,0.912,-2.2269,9.594,0.0186,0.0139,0.0093
1.16,0.6661,-2.3213,9.3579,-0.0139,-0.0104,-0.0069
1.18,0.9491,-2.153,9.4839,0.0131,0.0099,0.0066
1.2,0.8235,-2.2868,9.4051,0.0008,0.0006,0.0004
1.22,0.7958,-2.5043,9.2581,-0.0256,-0.0192,-0.0128
1.24,1.1245,-2.1516,9.6138,0.0395,0.0296,0.0197
1.26,0.9764,-2.2071,9.5783,0.0175,0.0131,0.0088
1.28,0.7961,-2.2968,9.1867,-0.0243,-0.0183,-0.0122
1.3,0.9311,-2.1181,9.5332,0.0186,0.0139,0.0093
1.32,0.7573,-2.24,9.2729,-0.0101,-0.0076,-0.0051
1.34,0.9319,-2.0901,9.512,0.0199,0.0149,0.01
1.36,0.7877,-2.2263,9.309,0.0013,0.001,0.0006
1.38,0.6029,-2.3289,9.1686,-0.0288,-0.0216,-0.0144
1.4,0.6083,-2.3309,9.2473,-0.024,-0.018,-0.012
1.42,0.986,-2.2677,9.4151,0.0011,0.0008,0.0005
1.44,0.8378,-2.2608,9.3897,-0.01,-0.0075,-0.005
1.46,0.838,-2.2605,9.3345,-0.0067,-0.005,-0.0034
1.48,0.6971,-2.2234,9.2262,-0.0265,-0.0199,-0.0133
1.5,0.8269,-2.299,9.3334,-0.0118,-0.0089,-0.0059
1.52,0.8138,-2.2155,9.4555,0.0051,0.0038,0.0026
1.54,0.7506,-2.2679,9.3179,-0.0113,-0.0085,-0.0057
1.56,0.9356,-2.186,9.4439,0.0195,0.0146,0.0097
1.58,1.0597,-2.1509,9.6377,0.0311,0.0233,0.0156
1.6,1.0916,-2.1662,9.6396,0.0352,0.0264,0.0176
1.62,1.0356,-2.234,9.5129,0.0218,0.0164,0.0109
1.64,0.9191,-2.2205,9.4974,0.0112,0.0084,0.0056
1.66,0.8004,-2.3472,9.3152,-0.0195,-0.0146,-0.0098
1.68,1.0029,-2.071,9.6215,0.0382,0.0286,0.0191
1.7,0.918,-2.2901,9.4434,-0.0014,-0.0011,-0.0007
1.72,0.7377,-2.1688,9.2332,-0.0145,-0.0108,-0.0072
1.74,0.7878,-2.2973,9.3695,-0.0075,-0.0056,-0.0038
1.76,0.7917,-2.297,9.2953,-0.0095,-0.0071,-0.0047
1.78,1.0001,-2.2359,9.5274,0.024,0.018,0.012
1.8,0.7281,-2.2784,9.294,-0.0176,-0.0132,-0.0088
1.82,0.9312,-2.2354,9.421,0.0089,0.0067,0.0045
1.84,0.9222,-2.2297,9.5056,0.024,0.018,0.012
1.86,0.8909,-2.2248,9.4772,0.0066,0.0049,0.0033
1.88,0.8356,-2.1901,9.4052,0.005,0.0037,0.0025
1.9,0.901,-2.1405,9.6017,0.0276,0.0207,0.0138
1.92,0.721,-2.5053,9.1759,-0.0299,-0.0224,-0.0149
1.94,0.692,-2.5316,9.1318,-0.0383,-0.0287,-0.0191
1.96,0.8932,-2.3153,9.3571,0.0027,0.0018,0.0015
1.98,0.6721,-2.2787,9.4259,-0.0076,-0.0049,-0.0043
2.0,0.8647,-2.2847,9.4208,0.0021,0.0015,0.0014
2.02,0.8397,-2.3032,9.4167,0.0014,0.0016,0.0017
2.04,0.797,-2.3419,9.4143,-0.0065,-0.003,-0.0029
2.06,0.8357,-2.1828,9.4817,0.0035,0.0013,0.0017
2.08,0.7986,-2.2989,9.3064,-0.0082,-0.0023,0.0005
2.1,0.7415,-2.0136,9.3956,-0.0053,-0.0046,-0.0008
2.12,0.7841,-2.3037,9.4288,-0.0104,-0.0113,-0.0051
2.14,1.0213,-2.2159,9.4268,0.0111,0.0087,0.0044
2.16,0.9014,-2.2737,9.4516,0.0124,0.008,0.0026
2.18,0.7367,-2.1482,9.3636,0.0006,-0.0014,0.0014
2.2,0.7718,-2.224,9.3236,-0.0107,-0.0133,-0.0049
2.22,0.7681,-2.2257,9.4735,0.0084,0.0027,-0.001
2.24,0.7356,-2.3685,9.1796,-0.0186,-0.0184,-0.01
2.26,0.7296,-2.4146,9.3222,-0.0223,-0.0095,-0.0097
2.28,0.8876,-2.3432,9.3739,-0.0123,0.0036,0.0039
2.3,0.7291,-2.2516,9.2988,-0.003,-0.0185,-0.0067
2.32,0.7405,-2.2799,9.5847,0.0171,0.0222,0.0071
2.34,0.6877,-2.2385,9.2403,-0.028,-0.011,-0.0031
2.36,0.9158,-2.1615,9.5621,0.0141,0.0253,-0.001
2.38,0.8878,-2.4448,9.4236,0.0165,0.0218,0.0135
2.4,0.9068,-2.3259,9.475,0.0199,0.0149,0.0234
2.42,0.7129,-2.5323,9.1816,-0.0242,-0.0013,-0.0168
2.44,0.6814,-2.1756,9.3891,-0.0217,-0.0006,-0.0116
2.46,0.8032,-2.3877,9.2808,-0.0271,-0.0194,-0.0029
2.48,0.8895,-1.9873,9.5885,0.03,0.0248,0.0164
2.5,0.7235,-2.3285,9.4948,-0.0115,-0.0023,-0.0082
