time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,1.0382,-2.3655,9.3394,-0.0,0.0,0.0
0.02,0.9611,-2.3631,9.309,-0.0,0.0,0.0
0.04,0.9873,-2.3224,9.3555,0.0,0.0,-0.0
0.06,0.9342,-2.3614,9.3874,0.0,0.0,-0.0
0.08,0.9965,-2.3119,9.3467,-0.0,-0.0,0.0
0.1,1.0397,-2.4172,9.3572,0.0,0.0,-0.0
0.12,0.887,-2.4438,9.3605,0.0,0.0,0.0
0.14,1.038,-2.3572,9.3263,0.0,-0.0,0.0
0.16,1.0047,-2.3527,9.3829,-0.0,0.0,0.0
0.18,0.9876,-2.3269,9.3377,-0.0,-0.0,0.0
0.2,1.02,-2.3191,9.384,0.0,0.0,0.0
0.22,1.0659,-2.3228,9.4104,0.0,-0.0,0.0
0.24,0.9372,-2.3898,9.3024,-0.0,-0.0,-0.0
0.26,0.9647,-2.3636,9.31,-0.0,-0.0,-0.0
0.28,0.9524,-2.3925,9.297,-0.0,-0.0,-0.0
0.3,1.0168,-2.3474,9.3227,-0.0,-0.0,0.0
0.32,1.0517,-2.3298,9.3719,0.0,-0.0,0.0
0.34,1.0338,-2.3152,9.3283,-0.0,0.0,-0.0
0.36,0.9691,-2.3118,9.3315,0.0,-0.0,0.0
0.38,1.0383,-2.3573,9.2737,0.0,-0.0,0.0
0.4,1.0284,-2.3751,9.3356,-0.0,-0.0,-0.0
0.42,1.0497,-2.4142,9.3426,-0.0,0.0,-0.0
0.44,1.0006,-2.2898,9.3742,-0.0,0.0,0.0
0.46,1.0587,-2.3769,9.4017,-0.0,0.0,-0.0
0.48,1.0729,-2.321,9.3703,0.0,0.0,0.0
0.5,0.9919,-2.3566,9.3208,-0.0,0.0,0.0
0.52,0.9999,-2.3579,9.3381,0.0,0.0,-0.0
0.54,1.0275,-2.2964,9.2992,-0.0,0.0,-0.0
0.56,0.9324,-2.3868,9.3778,-0.0,0.0,0.0
0.58,1.0351,-2.465,9.3283,-0.0,0.0,-0.0
0.6,0.9764,-2.3268,9.3497,0.0,-0.0,0.0
0.62,1.0373,-2.3497,9.3756,0.0,0.0,0.0
0.64,1.0087,-2.3659,9.3446,0.0,-0.0,0.0
0.66,1.0561,-2.335,9.3131,-0.0,-0.0,0.0
0.68,0.999,-2.2969,9.3476,-0.0,-0.0,-0.0
0.7,0.9839,-2.344,9.2517,0.0,-0.0,0.0
0.72,1.0089,-2.2905,9.3689,-0.0,-0.0,0.0
0.74,1.0105,-2.3378,9.2969,0.0,0.0,-0.0
0.76,0.9962,-2.384,9.371,0.0,-0.0,0.0
0.78,0.9597,-2.3366,9.3121,0.0,-0.0,0.0
0.8,0.9902,-2.3171,9.4589,0.0,-0.0,0.0
0.82,1.0323,-2.354,9.3216,-0.0,0.0,0.0
0.84,1.0323,-2.3214,9.333,-0.0,0.0,-0.0
0.86,1.0615,-2.3976,9.238,0.0,0.0,-0.0
0.88,1.0613,-2.3502,9.3482,0.0,0.0,0.0
0.9,0.9862,-2.3906,9.3409,-0.0,-0.0,0.0
0.92,0.9075,-2.344,9.2195,-0.0,0.0,0.0
0.94,0.9677,-2.333,9.3545,0.0,0.0,0.0
0.96,0.9831,-2.4044,9.4005,-0.0,-0.0,-0.0
0.98,0.9912,-2.4134,9.4124,0.0,0.0,0.0
1.0,1.0001,-2.3576,9.2919,-0.0,-0.0,-0.0
1.02,1.0134,-2.3687,9.3504,0.0,0.0,-0.0
1.04,1.0072,-2.301,9.3981,-0.0,0.0,-0.0
1.06,0.9699,-2.3857,9.3879,-0.0,-0.0,-0.0
1.08,1.0206,-2.3689,9.3669,0.0,0.0,0.0
1.1,0.9451,-2.504,9.3929,-0.0,-0.0,0.0
1.12,1.0276,-2.3841,9.3361,0.0,0.0,0.0
1.14,0.9751,-2.4142,9.3503,0.0,0.0,-0.0
1.16,0.9664,-2.4027,9.3603,-0.0,-0.0,0.0
1.18,0.9596,-2.3616,9.2568,-0.0,-0.0,-0.0
1.2,1.0178,-2.3379,9.3423,-0.0,-0.0,0.0
1.22,0.8929,-2.3483,9.4546,0.0,-0.0,-0.0
1.24,0.9867,-2.3289,9.4033,-0.0,-0.0,-0.0
1.26,0.9547,-2.3429,9.3132,0.0,-0.0,-0.0
1.28,0.9894,-2.3465,9.3053,0.0,-0.0,-0.0
1.3,1.0153,-2.3288,9.4325,-0.0,-0.0,-0.0
1.32,0.9561,-2.3676,9.2866,0.0,-0.0,0.0
1.34,0.9997,-2.321,9.3191,0.0,-0.0,-0.0
1.36,0.9708,-2.3734,9.3503,-0.0,0.0,-0.0
1.38,1.0096,-2.3767,9.3688,0.0,-0.0,0.0
1.4,0.9252,-2.3057,9.3356,0.0,-0.0,-0.0
1.42,0.9049,-2.3265,9.4129,0.0,-0.0,-0.0
1.44,1.0113,-2.3957,9.3361,0.0,-0.0,0.0
1.46,0.941,-2.2984,9.3637,0.0,0.0,0.0
1.48,0.9817,-2.3477,9.3457,-0.0,-0.0,0.0
1.5,0.9559,-2.373,9.3276,0.0,-0.0,-0.0
1.52,1.089,-2.3738,9.3234,0.0,0.0,0.0
1.54,0.9684,-2.313,9.3948,0.0,-0.0,-0.0
1.56,0.9813,-2.3941,9.3447,0.0,0.0,0.0
1.58,0.9528,-2.3083,9.3345,-0.0,0.0,0.0
1.6,0.9783,-2.3097,9.3168,-0.0,-0.0,-0.0
1.62,1.0343,-2.3406,9.3369,0.0,0.0,-0.0
1.64,0.9718,-2.3364,9.3838,0.0,0.0,-0.0
1.66,0.9307,-2.3017,9.267,0.0,-0.0,0.0
1.68,1.0271,-2.2605,9.365,0.0,0.0,-0.0
1.7,0.9341,-2.3936,9.3635,0.0,0.0,-0.0
1.72,1.0105,-2.4032,9.3051,0.0,-0.0,0.0
1.74,0.9196,-2.3256,9.2548,0.0,-0.0,0.0
1.76,1.0021,-2.3614,9.4309,0.0,0.0,0.0
1.78,0.9516,-2.3757,9.3456,0.0,0.0,0.0
1.8,1.0306,-2.3239,9.2616,0.0,0.0,-0.0
1.82,0.9838,-2.2921,9.3999,0.0,-0.0,0.0
1.84,1.0039,-2.3146,9.3444,-0.0,-0.0,-0.0
1.86,1.0496,-2.3303,9.324,-0.0,0.0,-0.0
1.88,0.951,-2.3811,9.4031,-0.0,-0.0,-0.0
1.9,1.0033,-2.3269,9.2986,-0.0,0.0,-0.0
1.92,0.9326,-2.3581,9.343,0.0,-0.0,0.0
1.94,1.0707,-2.418,9.4883,0.0,0.0,-0.0
1.96,0.9755,-2.3866,9.37,0.0,-0.0,-0.0
1.98,0.9672,-2.3352,9.2878,-0.0,-0.0,-0.0
2.0,0.9724,-2.3399,9.4004,-0.0,0.0,0.0
2.02,1.0616,-2.3765,9.3273,0.0,0.0,-0.0
2.04,0.956,-2.3279,9.2759,0.0,0.0,-0.0
2.06,0.9907,-2.3838,9.3197,0.0,0.0,-0.0
2.08,1.0261,-2.3104,9.3967,0.0,-0.0,-0.0
2.1,0.9586,-2.322,9.3861,-0.0,-0.0,0.0
2.12,0.9408,-2.2803,9.3428,0.0,0.0,-0.0
2.14,0.9656,-2.2882,9.318,0.0,-0.0,-0.0
2.16,1.065,-2.3525,9.3201,0.0,-0.0,0.0
2.18,0.9445,-2.3462,9.3504,0.0,0.0,-0.0
2.2,1.0105,-2.3128,9.371,-0.0,-0.0,-0.0
2.22,0.9714,-2.4182,9.3055,0.0,-0.0,-0.0
2.24,0.9949,-2.3136,9.2923,0.0,-0.0,-0.0
2.26,1.0373,-2.3435,9.3976,-0.0,-0.0,-0.0
2.28,1.0362,-2.3632,9.3287,-0.0,-0.0,0.0
2.3,0.9332,-2.3589,9.2849,0.0,-0.0,0.0
2.32,0.968,-2.3592,9.3039,-0.0,-0.0,-0.0
2.34,1.0961,-2.3638,9.4286,-0.0,0.0,0.0
2.36,1.0174,-2.3509,9.3915,-0.0,0.0,0.0
2.38,0.9756,-2.3242,9.359,0.0,-0.0,0.0
2.4,0.9545,-2.2729,9.3207,0.0,-0.0,-0.0
2.42,1.0034,-2.3817,9.3614,-0.0,-0.0,-0.0
2.44,1.0293,-2.2953,9.3594,0.0,0.0,0.0
