time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.3564,-0.813,9.7299,-0.008,-0.006,-0.004
0.02,0.6449,-0.7721,9.8827,0.0178,0.0134,0.0089
0.04,0.4624,-0.8712,9.679,-0.0058,-0.0044,-0.0029
0.06,0.6069,-0.6545,9.9699,0.0257,0.0193,0.0128
0.08,0.6499,-0.7653,9.8452,0.0091,0.0068,0.0045
0.1,0.5335,-0.7335,9.8383,0.0125,0.0094,0.0063
0.12,0.3874,-0.8389,9.7244,-0.0046,-0.0035,-0.0023
0.14,0.4684,-0.8019,9.7663,-0.0006,-0.0005,-0.0003
0.16,0.284,-0.8245,9.5668,-0.0165,-0.0123,-0.0082
0.18,0.5221,-0.7272,9.8792,0.0219,0.0165,0.011
0.2,0.5275,-0.8027,9.6983,-0.0024,-0.0018,-0.0012
0.22,0.4359,-0.8638,9.6072,-0.0144,-0.0108,-0.0072
0.24,0.7005,-0.7333,9.8624,0.0294,0.022,0.0147
0.26,0.4848,-0.9205,9.7037,-0.0103,-0.0077,-0.0051
0.28,0.5935,-0.6648,9.9619,0.0281,0.021,0.014
0.3,0.6892,-0.8637,9.9336,0.0235,0.0176,0.0117
0.32,0.5741,-0.7289,9.7963,0.0055,0.0041,0.0027
0.34,0.3096,-0.852,9.5943,-0.0242,-0.0182,-0.0121
0.36,0.5379,-0.8806,9.9058,0.0141,0.0105,0.007
0.38,0.577,-0.7843,9.7899,0.0059,0.0044,0.0029
0.4,0.5143,-0.6763,9.8125,0.0052,0.0039,0.0026
0.42,0.4222,-0.8577,9.6172,-0.0164,-0.0123,-0.0082
0.44,0.4732,-0.6865,9.6933,-0.0009,-0.0007,-0.0004
0.46,0.543,-0.6422,9.7019,-0.0024,-0.0018,-0.0012
0.48,0.3702,-0.9572,9.5545,-0.0239,-0.018,-0.012
0.5,0.6162,-0.7235,9.8443,0.023,0.0172,0.0115
0.52,0.2848,-0.8933,9.5981,-0.0151,-0.0113,-0.0076
0.54,0.4877,-0.7651,9.791,0.0068,0.0051,0.0034
0.56,0.4558,-0.8022,9.5893,-0.0106,-0.0079,-0.0053
0.58,0.5861,-0.7201,9.8832,0.0147,0.011,0.0073
0.6,0.3694,-0.8191,9.5531,-0.0107,-0.008,-0.0053
0.62,0.3649,-0.9591,9.6693,-0.0188,-0.0141,-0.0094
0.64,0.3573,-0.9664,9.6262,-0.0316,-0.0237,-0.0158
0.66,0.5349,-0.8404,9.8847,0.0114,0.0086,0.0057
0.68,0.5872,-0.792,9.9344,0.0138,0.0103,0.0069
0.7,0.5748,-0.7445,9.7858,0.01,0.0075,0.005
0.72,0.5245,-0.7676,9.8265,0.01,0.0075,0.005
0.74,0.5836,-0.7452,9.8039,0.0117,0.0088,0.0059
0.76,0.5489,-0.8276,9.6976,-0.004,-0.003,-0.002
0.78,0.6193,-0.8102,9.8515,0.017,0.0127,0.0085
0.8,0.5287,-0.6832,9.9137,0.019,0.0143,0.0095
0.82,0.6726,-0.7514,9.9163,0.0289,0.0217,0.0144
0.84,0.4194,-0.8747,9.6415,-0.0158,-0.0119,-0.0079
0.86,0.6631,-0.7501,9.9759,0.0289,0.0217,0.0145
0.88,0.597,-0.6884,9.7292,0.0058,0.0044,0.0029
0.9,0.3477,-0.8179,9.6854,-0.0069,-0.0052,-0.0034
0.92,0.3848,-0.8575,9.6972,-0.0143,-0.0107,-0.0071
0.94,0.5277,-0.8331,9.7601,-0.0035,-0.0026,-0.0017
0.96,0.464,-0.8545,9.7395,-0.0055,-0.0041,-0.0027
0.98,0.533,-0.7603,9.8227,0.0089,0.0067,0.0045
1.0,0.5954,-0.7647,9.8539,0.0128,0.0096,0.0064
1.02,0.4551,-0.7124,9.7212,0.0055,0.0041,0.0027
1.04,0.4492,-0.8873,9.7235,-0.0029,-0.0022,-0.0014
1.06,0.4681,-0.7673,9.5704,-0.0114,-0.0085,-0.0057
1.08,0.5532,-0.7444,9.6521,-0.0027,-0.0021,-0.0014
1.1,0.6512,-0.7479,9.9234,0.0257,0.0193,0.0128
1.12,0.6436,-0.7175,9.9285,0.0187,0.014,0.0093
1.14,0.403,-0.8485,9.6301,-0.0173,-0.013,-0.0087
1.16,0.4942,-0.8231,9.7298,0.0026,0.0019,0.0013
1.18,0.4664,-0.7234,9.8029,0.0148,0.0111,0.0074
1.2,0.4442,-0.8371,9.6748,-0.0025,-0.0018,-0.0012
1.22,0.4084,-0.8498,9.6622,-0.0109,-0.0081,-0.0054
1.24,0.3224,-0.9392,9.5501,-0.0284,-0.0213,-0.0142
1.26,0.3964,-0.8343,9.7677,0.0011,0.0008,0.0005
1.28,0.4286,-0.7682,9.7675,-0.0014,-0.001,-0.0007
1.3,0.5359,-0.8203,9.7867,0.0043,0.0033,0.0022
1.32,0.5617,-0.8236,9.8068,0.0011,0.0008,0.0006
1.34,0.3573,-0.8492,9.6422,-0.0148,-0.0111,-0.0074
1.36,0.5733,-0.7575,9.876,0.012,0.009,0.006
1.38,0.4372,-0.7861,9.7561,-0.0059,-0.0044,-0.0029
1.4,0.6265,-0.8697,9.8288,0.0189,0.0142,0.0094
1.42,0.3668,-0.9673,9.3972,-0.0385,-0.0289,-0.0192
1.44,0.5877,-0.8746,9.8789,0.0172,0.0129,0.0086
1.46,0.6944,-0.7347,9.9435,0.0242,0.0182,0.0121
1.48,0.4833,-0.7977,9.7114,-0.0063,-0.0047,-0.0032
1.5,0.5663,-0.7924,9.7503,0.0079,0.0059,0.0039
1.52,0.5189,-0.8637,9.7933,0.0104,0.0078,0.0052
1.54,0.4231,-0.9216,9.578,-0.0196,-0.0147,-0.0098
1.56,0.4631,-0.7386,9.7074,0.0036,0.0027,0.0018
1.58,0.5593,-0.8396,9.8902,0.0059,0.0044,0.0029
1.6,0.4621,-0.83,9.7841,-0.0036,-0.0027,-0.0018
1.62,0.6831,-0.682,9.9014,0.0221,0.0165,0.011
1.64,0.6427,-0.8086,9.7588,0.0127,0.0095,0.0063
1.66,0.4129,-0.8306,9.6265,-0.0225,-0.0169,-0.0112
1.68,0.6323,-0.7346,9.7892,0.014,0.0105,0.007
1.7,0.6495,-0.6314,9.8451,0.023,0.0173,0.0115
1.72,0.6246,-0.8013,9.733,-0.0001,-0.0001,-0.0
1.74,0.4492,-0.7762,9.6514,-0.0094,-0.0071,-0.0047
1.76,0.591,-0.6434,9.9285,0.0188,0.0141,0.0094
1.78,0.3515,-0.8103,9.4984,-0.0273,-0.0204,-0.0136
1.8,0.6415,-0.7194,9.8101,0.0159,0.0119,0.0079
1.82,0.5365,-0.8178,9.6709,-0.0053,-0.004,-0.0027
1.84,0.4782,-0.7276,9.7745,0.0042,0.0032,0.0021
1.86,0.5146,-0.7358,9.7682,0.0094,0.0071,0.0047
1.88,0.5822,-0.7849,9.8631,0.0094,0.0071,0.0047
1.9,0.3539,-0.8271,9.6016,-0.0222,-0.0166,-0.0111
1.92,0.3413,-0.8911,9.5143,-0.0306,-0.023,-0.0153
1.94,0.5852,-0.766,9.7786,0.0026,0.002,0.0013
1.96,0.4542,-0.7819,9.6654,-0.0003,-0.0002,-0.0002
1.98,0.587,-0.7397,9.8702,0.0162,0.0122,0.0081
2.0,0.371,-0.7734,9.7796,-0.0096,-0.0075,-0.0048
2.02,0.662,-0.7099,9.8944,0.0217,0.016,0.0105
2.04,0.6445,-0.6826,9.8972,0.0131,0.0114,0.0069
2.06,0.4686,-0.7905,9.9105,0.0202,0.015,0.0079
2.08,0.4979,-0.8156,9.5543,-0.0251,-0.0188,-0.0133
2.1,0.4834,-0.8473,9.764,0.0036,0.0049,0.0042
2.12,0.4137,-0.8016,9.638,-0.0157,-0.011,-0.0076
2.14,0.5632,-0.6901,9.8781,0.0204,0.0177,0.0133
2.16,0.5958,-0.8262,9.7418,0.0116,0.0062,0.0034
2.18,0.4057,-0.8373,9.7566,-0.0014,0.0038,0.0016
2.2,0.293,-0.8054,9.7738,-0.0017,0.0023,-0.0101
2.22,0.4328,-0.7096,9.8118,0.0112,0.0126,0.0042
2.24,0.6804,-0.7269,9.9027,0.0214,0.0241,0.0207
2.26,0.6134,-0.7082,9.8887,0.0208,0.0199,0.0114
2.28,0.5638,-0.8701,9.704,0.0016,0.0141,0.0006
2.3,0.3653,-0.8668,9.6478,-0.0248,-0.0064,-0.0095
2.32,0.4994,-0.7153,9.7105,0.0088,0.011,-0.0018
2.34,0.7003,-0.7302,9.9969,0.0408,0.0192,0.0192
2.36,0.4485,-0.8688,9.7671,0.0125,0.0044,-0.0086
2.38,0.6238,-0.7408,9.8635,0.0237,0.0176,0.0007
2.4,0.5635,-0.7317,9.8028,0.0173,0.004,-0.0095
2.42,0.5957,-0.8005,9.6196,-0.0096,0.0117,-0.0095
2.44,0.4887,-0.6156,9.6049,0.0131,0.002,-0.0002
2.46,0.5868,-0.754,9.7308,0.007,0.003,-0.008
2.48,0.5083,-0.7879,9.9344,0.0212,0.0114,0.0094
2.5,0.4112,-0.8867,9.6324,-0.0178,0.0051,-0.0211
2.52,0.632,-0.6539,10.0548,0.0375,0.0174,0.0145
2.54,0.4355,-0.9435,9.6669,0.0029,-0.0131,-0.0038
2.56,0.6576,-0.9311,9.8105,0.021,0.0165,0.0216
2.58,0.5093,-0.7414,9.7282,0.0021,0.0158,-0.0114
2.6,0.2042,-0.8383,9.4846,-0.0213,-0.0289,-0.0309
2.62,0.5134,-0.999,9.4177,-0.0341,0.0025,0.0113
2.64,0.4467,-0.7517,9.5787,-0.0166,0.0007,0.0162
2.66,0.331,-0.8907,9.5227,-0.0335,-0.0343,-0.0145
2.68,0.3823,-0.9152,9.4779,-0.0399,-0.025,-0.0015
2.7,0.4445,-0.7884,9.7336,0.0159,0.023,0.0142
2.72,0.6165,-0.8359,9.6074,0.0205,-0.0208,0.0093
2.74,0.6292,-0.7341,9.7028,0.0592,-0.0043,0.0204
2.76,0.8215,-0.5817,9.777,0.1075,0.065,0.0347
2.78,0.4796,-1.0176,9.4258,0.0845,0.0402,0.0087
2.8,0.5204,-0.792,9.5339,0.1139,0.0501,0.0114
2.82,0.6222,-1.0836,9.2533,0.0367,0.0415,-0.0325
2.84,0.5795,-0.9677,9.2937,0.0351,0.0397,-0.0926
2.86,0.3819,-0.937,9.1647,-0.0956,-0.0962,-0.156
2.88,0.245,-0.9316,9.085,-0.2815,-0.133,-0.2113
2.9,0.0374,-0.6307,9.163,-0.4021,-0.2091,-0.2362
2.92,-0.3616,-0.5958,9.3525,-0.5213,-0.1488,-0.2633
2.94,-0.4842,-0.6561,9.811,-0.4771,-0.0399,-0.2398
2.96,-0.3043,-0.4035,10.574,-0.3905,0.1616,-0.1661
2.98,0.1387,-0.5819,11.3858,-0.1815,0.263,-0.0921
3.0,0.4157,-0.5405,11.5905,0.0978,0.307,0.047
3.02,1.6339,-0.2336,11.4993,0.34,0.2433,0.1698
3.04,1.389,-0.5698,10.2397,0.4964,0.037,0.2241
3.06,1.2615,-0.5051,9.2777,0.5094,-0.1209,0.2578
3.08,1.0386,-0.8997,9.1082,0.5268,-0.2172,0.2657
3.1,0.6707,-0.8979,9.2821,0.3863,-0.2103,0.2435
3.12,0.2847,-0.9006,9.2245,0.1832,-0.1059,0.1583
3.14,0.5325,-1.0616,9.063,0.0514,-0.0569,0.1075
3.16,0.5122,-0.9806,9.3196,-0.0572,0.05,0.0512
3.18,0.3119,-1.008,9.6254,-0.1111,0.1049,0.0398
3.2,0.5564,-1.0153,9.8972,-0.0964,0.1418,-0.0058
3.22,0.2632,-0.927,9.4955,-0.1429,0.0785,-0.0356
3.24,0.5809,-1.0191,9.6789,-0.0632,0.0534,-0.0261
3.26,0.4567,-0.9516,9.8164,0.0023,0.0211,-0.0264
3.28,0.2856,-0.6829,9.9597,0.0144,-0.0214,-0.0192
3.3,0.3105,-1.005,9.8008,-0.0079,-0.0278,-0.0113
3.32,0.3381,-0.9271,9.4677,0.0106,0.0251,-0.0033
3.34,0.4663,-0.844,9.4874,-0.0016,0.0336,-0.0148
3.36,0.3971,-0.9328,9.4438,-0.0349,-0.0063,0.0004
3.38,0.0492,-0.9018,9.3588,-0.0291,-0.0271,-0.0247
3.4,0.5624,-0.8002,9.9202,0.002,-0.0064,-0.0031
3.42,0.2316,-1.0655,9.4501,-0.031,-0.0204,-0.0055
3.44,0.183,-0.6635,9.4401,0.0566,-0.0403,-0.0261
3.46,0.3637,-0.8344,9.5718,0.0824,-0.0004,-0.0265
3.48,0.3192,-0.9817,9.445,0.1083,0.0375,-0.0354
3.5,0.8527,-0.833,9.5027,0.1376,0.0738,0.0442
3.52,0.4685,-0.8636,9.3442,0.1209,0.0366,-0.0116
3.54,0.0094,-0.959,9.3221,0.1015,0.0536,0.066
3.56,0.2991,-0.6008,9.115,-0.0499,-0.0422,0.1019
3.58,0.287,-0.9879,9.3244,-0.1706,-0.1221,0.1491
3.6,0.1197,-0.7694,8.9251,-0.3114,-0.1777,0.1898
3.62,-0.3002,-1.178,9.1698,-0.3937,-0.1896,0.2085
3.64,-0.2941,-1.1714,9.4513,-0.4335,-0.0801,0.242
3.66,-0.4219,-1.1608,9.799,-0.3928,0.0523,0.177
3.68,-0.28,-1.2652,10.4938,-0.2718,0.1698,0.088
3.7,0.1527,-1.1492,10.9003,-0.0257,0.26,0.021
3.72,0.5565,-1.5282,11.0076,0.1301,0.2286,-0.0979
3.74,1.1348,-1.0695,10.4668,0.3709,0.1306,-0.1665
3.76,1.1282,-1.1405,9.5557,0.4214,-0.0546,-0.2218
3.78,1.0025,-0.8017,9.2847,0.4474,-0.1918,-0.1946
3.8,0.7825,-0.8393,9.2694,0.4126,-0.1992,-0.2118
3.82,0.7091,-0.8094,9.1838,0.2256,-0.1344,-0.1844
3.84,0.4623,-0.8132,9.2191,0.0958,-0.0605,-0.1403
3.86,0.1974,-0.7089,9.3355,-0.0012,0.02,-0.08
3.88,0.3746,-0.7808,9.4009,-0.091,0.0689,-0.0153
3.9,0.5503,-0.7426,9.7362,-0.0904,0.1389,0.0196
3.92,0.5698,-0.6788,9.9224,-0.0586,0.0719,0.0577
3.94,0.5959,-0.7986,9.8271,-0.081,0.0263,0.0459
3.96,0.235,-0.8671,9.6657,-0.0571,-0.0139,-0.0073
3.98,0.6789,-0.8329,10.1477,-0.02,-0.0017,0.0329
4.0,0.7003,-0.6524,9.7289,-0.0374,0.0264,-0.0384
4.02,0.8213,-0.939,9.7416,0.0251,-0.0031,0.0068
4.04,0.4683,-0.4312,9.9723,0.0122,0.007,-0.0137
4.06,0.3098,-0.6833,10.0107,0.0285,-0.0087,-0.033
4.08,0.6824,-0.746,9.8604,-0.0172,0.0046,0.0205
4.1,0.3922,-0.7102,9.8888,-0.0115,0.0,-0.0005
4.12,0.6896,-0.8753,9.8599,0.0105,0.0301,0.0109
4.14,0.6692,-0.8004,10.1313,0.0632,0.0242,0.01
4.16,0.6679,-1.0573,9.8483,0.0225,0.0046,-0.0129
4.18,0.8835,-0.8031,10.0007,0.049,0.0316,0.0052
4.2,0.557,-0.4986,9.702,-0.0109,-0.0259,0.0471
4.22,0.6696,-0.7173,9.8739,0.0564,-0.017,0.0264
4.24,0.6074,-0.4914,10.1679,0.0415,0.0247,0.0374
4.26,0.6296,-0.7031,10.0063,0.0212,0.0215,0.0352
4.28,0.9318,-0.7604,10.283,0.0648,0.0114,0.0229
4.3,0.649,-0.8528,9.8522,0.0802,0.0112,0.0306
4.32,0.5807,-0.9649,9.5829,0.1363,0.0921,0.0209
4.34,0.6639,-0.6784,9.5717,0.1289,0.0744,0.0098
4.36,0.8138,-0.7453,9.5705,0.111,0.1153,-0.0773
4.38,0.5903,-1.0159,9.6219,0.0042,0.0504,-0.0955
4.4,0.5774,-0.9505,9.4881,-0.1301,-0.0822,-0.1612
4.42,0.5078,-0.8395,9.4669,-0.2389,-0.1407,-0.2092
4.44,-0.0748,-1.0208,9.2023,-0.4117,-0.1953,-0.2098
4.46,-0.3607,-0.7029,9.3449,-0.4519,-0.1154,-0.2525
4.48,-0.2365,-0.5363,9.876,-0.4374,-0.0381,-0.1985
4.5,-0.4357,-0.6481,10.5743,-0.3297,0.1618,-0.1448
4.52,0.0949,-0.6049,11.1476,-0.1939,0.277,-0.0791
4.54,0.6847,-0.3225,11.8189,0.0325,0.2994,0.028
4.56,0.9364,-0.5635,10.91,0.2918,0.2128,0.1226
4.58,1.5699,-0.4928,10.3756,0.4532,0.0839,0.2091
4.6,0.8607,-0.7583,9.3859,0.5049,-0.0954,0.2631
4.62,0.9389,-0.5757,9.4821,0.4368,-0.2038,0.2204
4.64,0.762,-0.4858,9.4028,0.3271,-0.1808,0.2418
4.66,0.6289,-0.8336,9.2591,0.2213,-0.1233,0.1854
4.68,0.3727,-1.1732,9.1893,0.0417,-0.0362,0.1112
4.7,0.1596,-1.0744,9.4016,-0.0874,0.0166,0.0529
4.72,0.1718,-0.7176,9.2334,-0.1381,0.0875,-0.0204
4.74,0.2962,-0.5881,9.4999,-0.1401,0.1139,-0.0202
4.76,0.3832,-0.7433,9.2779,-0.0942,0.0305,-0.0401
4.78,0.4539,-0.8581,9.5643,-0.0426,0.0349,-0.0035
4.8,0.3754,-0.7504,9.6913,-0.0204,0.0226,0.0205
4.82,0.1611,-0.9312,9.7598,0.0186,-0.0502,-0.032
4.84,0.4985,-0.9445,10.0044,0.0204,0.0217,0.0377
4.86,0.4431,-0.9373,9.6137,0.0095,-0.0011,0.0042
4.88,0.571,-0.9526,9.6367,0.0323,0.0086,0.002
4.9,-0.0189,-1.0266,9.3086,-0.0271,-0.0369,-0.0079
4.92,-0.0871,-1.0353,9.2412,-0.0164,-0.0474,-0.0336
4.94,0.1715,-1.1308,9.4725,0.0243,-0.017,0.0212
4.96,0.2704,-1.0531,9.4944,-0.0191,0.0063,0.0369
4.98,0.2946,-1.0257,9.4612,0.0095,-0.0234,-0.0362
5.0,0.399,-1.0403,9.7714,0.0263,-0.0338,0.001
5.02,0.2858,-0.9675,9.4892,0.0692,-0.0076,-0.062
5.04,0.581,-1.198,9.5061,0.0953,0.0543,-0.0486
5.06,0.2625,-0.895,9.3151,0.0952,0.0617,-0.0163
5.08,0.445,-0.7626,9.4078,0.1476,0.1107,0.0254
5.1,0.1539,-0.8434,9.1854,0.1192,0.0441,0.0526
5.12,0.356,-0.8253,9.0685,0.011,0.0139,0.0403
5.14,0.0108,-0.8599,9.2272,-0.1545,-0.0957,0.1248
5.16,0.1817,-0.6406,9.3779,-0.2581,-0.1563,0.2211
5.18,0.0551,-0.8915,9.3107,-0.3961,-0.1563,0.2639
5.2,-0.2043,-0.9767,9.1425,-0.494,-0.1198,0.2456
5.22,-0.4779,-1.1308,9.7728,-0.4733,-0.0347,0.2665
5.24,-0.1534,-1.2235,10.7447,-0.3377,0.1425,0.1548
5.26,-0.0298,-1.0583,11.1706,-0.1136,0.2769,0.0935
5.28,0.4757,-1.232,11.3167,0.0658,0.2927,-0.0332
5.3,0.9831,-0.9791,10.4344,0.2765,0.2143,-0.1699
5.32,1.3805,-0.9733,9.8111,0.4551,0.0056,-0.1987
5.34,1.1512,-0.9928,9.4139,0.5079,-0.1505,-0.2333
5.36,0.8678,-0.7847,9.3213,0.4618,-0.2098,-0.2499
5.38,0.6548,-0.7738,9.3665,0.3519,-0.1919,-0.1981
5.4,0.4339,-0.5343,9.4752,0.1909,-0.1131,-0.2046
5.42,0.3429,-0.8428,9.3243,0.015,-0.0302,-0.1229
5.44,0.5738,-0.597,9.5945,-0.0613,0.0567,-0.0586
5.46,0.4957,-0.6099,9.3827,-0.1363,0.0431,-0.0097
5.48,0.3929,-0.8451,9.7271,-0.1386,0.0866,0.0312
5.5,0.4235,-1.1605,9.6395,-0.1029,0.0189,0.0718
5.52,0.4784,-0.3723,9.8377,-0.0298,-0.0175,0.0396
5.54,0.2075,-0.8702,9.5985,-0.0724,-0.061,-0.008
5.56,0.8333,-0.4973,10.2258,0.0078,0.0338,0.0141
5.58,0.6033,-0.8091,9.979,0.0269,-0.0353,0.0067
5.6,0.4994,-0.9379,10.1721,0.05,-0.0174,0.0221
5.62,0.8951,-0.4807,10.2782,0.0255,0.0181,0.0295
5.64,0.757,-0.6145,10.1089,0.0391,0.0032,0.01
5.66,0.319,-0.7434,9.8654,-0.0285,-0.0181,0.0159
5.68,0.8841,-0.6271,9.9971,0.0126,-0.0319,0.0536
5.7,0.8783,-0.8284,10.0524,0.0134,0.002,0.0167
5.72,0.8688,-0.7986,10.04,0.0668,0.0038,0.0299
5.74,0.7345,-0.9875,9.738,0.0929,0.0077,0.0113
5.76,0.6602,-0.9753,9.3289,0.055,0.0227,0.0023
5.78,0.4859,-0.6852,9.6637,0.1044,0.0465,-0.018
5.8,0.5388,-0.7753,9.6367,0.1049,0.0737,-0.0209
5.82,0.6073,-0.9396,9.3653,-0.0159,-0.0106,-0.1211
5.84,0.5324,-0.9936,9.6239,-0.1128,-0.0828,-0.1244
5.86,0.5288,-0.7619,9.7351,-0.2503,-0.1283,-0.1835
5.88,-0.018,-0.7396,9.4688,-0.3548,-0.1775,-0.2383
5.9,-0.1077,-0.4486,9.6154,-0.4079,-0.1007,-0.232
5.92,-0.019,-0.5717,10.0519,-0.371,0.0011,-0.1547
5.94,0.2369,-0.4005,10.9493,-0.277,0.1903,-0.1156
5.96,0.77,-0.7942,11.3374,-0.0742,0.2712,0.0094
5.98,0.615,-0.4826,10.8069,0.0986,0.2255,0.0432
6.0,1.3797,-0.5608,10.7949,0.3371,0.1303,0.1067
6.02,1.2199,-0.5881,9.7984,0.4371,-0.0308,0.216
6.04,1.0865,-0.7417,9.3478,0.4257,-0.1524,0.1993
6.06,0.7791,-0.8589,9.3087,0.3847,-0.2049,0.2555
6.08,0.4767,-1.1234,9.4781,0.2828,-0.1675,0.1775
6.1,0.4452,-0.8104,9.4633,0.1485,-0.0457,0.136
6.12,0.379,-0.9735,9.3101,-0.0075,0.0002,0.0777
