time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.1674,-0.2591,9.6452,-0.0115,-0.0086,-0.0057
0.02,0.4217,-0.1015,9.9146,0.0197,0.0148,0.0098
0.04,0.2856,-0.2016,9.7438,0.0037,0.0028,0.0019
0.06,0.3298,-0.0715,9.9246,0.02,0.015,0.01
0.08,0.2533,-0.1863,9.7686,-0.0074,-0.0055,-0.0037
0.1,0.3793,-0.2243,9.8455,0.0127,0.0096,0.0064
0.12,0.3776,-0.1736,9.7613,0.0072,0.0054,0.0036
0.14,0.3591,-0.1561,9.7902,-0.0013,-0.001,-0.0006
0.16,0.1578,-0.2652,9.5324,-0.0357,-0.0268,-0.0179
0.18,0.404,-0.2023,9.888,0.0121,0.0091,0.006
0.2,0.2238,-0.2474,9.6984,-0.0136,-0.0102,-0.0068
0.22,0.2771,-0.2112,9.8633,0.0045,0.0034,0.0023
0.24,0.2137,-0.2717,9.6478,-0.0128,-0.0096,-0.0064
0.26,0.0554,-0.3223,9.5955,-0.0379,-0.0284,-0.0189
0.28,0.1979,-0.3536,9.5929,-0.0329,-0.0247,-0.0164
0.3,0.4442,0.1123,10.0662,0.0432,0.0324,0.0216
0.32,0.199,-0.1766,9.707,-0.0245,-0.0184,-0.0123
0.34,0.2931,-0.0715,9.8048,0.0025,0.0019,0.0013
0.36,0.113,-0.3573,9.5422,-0.0434,-0.0325,-0.0217
0.38,0.4286,-0.0431,9.8483,0.0112,0.0084,0.0056
0.4,0.2544,-0.1671,9.7591,-0.0088,-0.0066,-0.0044
0.42,0.3779,-0.0493,9.8723,0.0175,0.0131,0.0088
0.44,0.3246,-0.1324,9.7329,-0.0008,-0.0006,-0.0004
0.46,0.4119,-0.0643,9.8868,0.0172,0.0129,0.0086
0.48,0.1002,-0.2296,9.7306,-0.0182,-0.0136,-0.0091
0.5,0.3285,-0.243,9.7183,-0.0055,-0.0041,-0.0027
0.52,0.2419,-0.1402,9.8474,-0.0064,-0.0048,-0.0032
0.54,0.1014,-0.182,9.6929,-0.0245,-0.0184,-0.0123
0.56,0.1135,-0.4295,9.5263,-0.0354,-0.0266,-0.0177
0.58,0.3562,-0.2154,9.7878,0.0057,0.0043,0.0028
0.6,0.1927,-0.2202,9.5462,-0.0282,-0.0212,-0.0141
0.62,0.1616,-0.1759,9.7017,-0.0115,-0.0086,-0.0057
0.64,0.2138,-0.1956,9.6262,-0.01,-0.0075,-0.005
0.66,0.3767,-0.1531,9.8119,0.0152,0.0114,0.0076
0.68,0.3163,-0.1385,9.7543,0.0017,0.0013,0.0009
0.7,0.3763,-0.2393,9.7631,-0.0122,-0.0092,-0.0061
0.72,0.1873,-0.3329,9.5918,-0.021,-0.0158,-0.0105
0.74,0.2604,-0.0765,9.7809,-0.0078,-0.0058,-0.0039
0.76,0.3749,-0.0578,9.8917,0.0191,0.0143,0.0095
0.78,0.3703,-0.1126,9.7402,0.0051,0.0038,0.0025
0.8,0.2668,-0.1668,9.7833,0.0116,0.0087,0.0058
0.82,0.2919,-0.1666,9.6368,-0.0104,-0.0078,-0.0052
0.84,0.3252,-0.0484,9.7937,0.0059,0.0044,0.0029
0.86,0.2722,-0.1792,9.705,-0.0063,-0.0047,-0.0031
0.88,0.1847,-0.3134,9.6879,-0.0253,-0.019,-0.0127
0.9,0.301,-0.1531,9.6787,0.0041,0.003,0.002
0.92,0.3118,-0.1217,9.6107,-0.0118,-0.0089,-0.0059
0.94,0.4053,-0.0618,9.7625,0.0042,0.0032,0.0021
0.96,0.2153,-0.1475,9.7526,-0.0067,-0.005,-0.0034
0.98,0.237,-0.1616,9.726,-0.0098,-0.0074,-0.0049
1.0,0.3808,-0.2644,9.8465,0.0133,0.01,0.0067
1.02,0.2918,-0.2384,9.8434,0.0041,0.0031,0.0021
1.04,0.2646,-0.1183,9.8237,-0.0004,-0.0003,-0.0002
1.06,0.2676,-0.2524,9.5691,-0.0128,-0.0096,-0.0064
1.08,0.0303,-0.2741,9.6306,-0.0292,-0.0219,-0.0146
1.1,0.1639,-0.3167,9.484,-0.034,-0.0255,-0.017
1.12,0.2464,-0.2261,9.8145,0.0028,0.0021,0.0014
1.14,0.2825,-0.1544,9.7498,-0.0081,-0.006,-0.004
1.16,0.3227,-0.2502,9.7537,-0.0043,-0.0032,-0.0021
1.18,0.1872,-0.2832,9.709,-0.0126,-0.0094,-0.0063
1.2,0.0871,-0.3351,9.513,-0.0354,-0.0266,-0.0177
1.22,0.1831,-0.2276,9.6931,-0.0164,-0.0123,-0.0082
1.24,0.3126,-0.2351,9.6662,-0.0073,-0.0054,-0.0036
1.26,0.3744,-0.0176,9.8004,0.0131,0.0098,0.0065
1.28,0.3711,-0.2459,9.6706,-0.0009,-0.0007,-0.0004
1.3,0.4986,0.0186,9.9099,0.0375,0.0281,0.0188
1.32,0.0953,-0.2825,9.4943,-0.035,-0.0263,-0.0175
1.34,0.3237,-0.1954,9.7591,-0.0061,-0.0046,-0.003
1.36,0.1668,-0.1968,9.7334,-0.0099,-0.0074,-0.0049
1.38,0.2644,-0.0515,9.9398,0.0185,0.0138,0.0092
1.4,0.0613,-0.3556,9.5571,-0.0365,-0.0274,-0.0183
1.42,0.2922,-0.2568,9.7882,-0.006,-0.0045,-0.003
1.44,0.315,-0.305,9.7528,-0.0014,-0.0011,-0.0007
1.46,0.1938,-0.2256,9.5083,-0.0283,-0.0212,-0.0141
1.48,0.343,-0.0778,9.8709,0.0077,0.0058,0.0039
1.5,0.3899,-0.0954,9.7651,0.0088,0.0066,0.0044
1.52,0.3311,-0.2295,9.7864,0.0014,0.0011,0.0007
1.54,0.3699,-0.0854,9.9418,0.0189,0.0141,0.0094
1.56,0.3395,-0.0983,9.7085,-0.0034,-0.0025,-0.0017
1.58,0.3746,-0.0309,9.9029,0.016,0.012,0.008
1.6,0.4602,-0.0934,9.8265,0.0159,0.0119,0.0079
1.62,0.2327,-0.3625,9.5711,-0.0346,-0.026,-0.0173
1.64,0.3538,-0.1602,9.8062,0.0037,0.0028,0.0018
1.66,0.3699,-0.0712,9.8755,0.0132,0.0099,0.0066
1.68,0.1794,-0.1929,9.7155,-0.013,-0.0097,-0.0065
1.7,0.4421,-0.0233,10.0681,0.0335,0.0251,0.0168
1.72,0.2404,-0.1242,9.6986,-0.0066,-0.0057,-0.0027
1.74,0.3702,-0.147,9.8992,0.0109,0.0081,0.0054
1.76,0.2513,-0.3268,9.6511,-0.0122,-0.0094,-0.0063
1.78,0.217,-0.3217,9.5943,-0.0236,-0.0164,-0.0107
1.8,0.3455,-0.1296,9.7844,0.0033,0.0056,0.0031
1.82,0.3405,-0.0527,9.858,0.0155,0.0162,0.0077
1.84,0.2199,-0.2852,9.7651,-0.0202,-0.0052,-0.0139
1.86,0.2876,-0.1111,9.705,-0.0088,-0.0043,-0.0031
1.88,0.2577,-0.3194,9.6503,-0.021,-0.0128,-0.0043
1.9,0.1806,-0.2822,9.6144,-0.0172,-0.0103,-0.0081
1.92,0.1124,-0.0942,9.6688,-0.0029,-0.0026,-0.0054
1.94,0.2707,-0.0488,9.841,0.0206,0.0191,0.0127
1.96,0.5053,-0.1814,9.8078,0.0078,0.0169,0.0154
1.98,0.1937,-0.2801,9.6745,-0.0154,0.0044,-0.0165
2.0,0.1788,-0.3683,9.5306,-0.0476,-0.0298,-0.0241
2.02,0.4616,-0.0314,9.9136,0.0218,0.0157,0.0134
2.04,0.4602,-0.1408,9.9304,0.0105,0.0172,-0.0057
2.06,0.4611,-0.1436,10.0266,0.0285,0.0291,0.0038
2.08,0.4683,-0.0326,9.8698,0.0105,0.0028,0.0014
2.1,0.3092,-0.2422,9.7039,-0.018,0.0012,-0.0224
2.12,0.2647,-0.1845,9.7974,-0.0095,-0.0127,-0.0126
2.14,0.2864,0.071,9.7023,0.0257,0.008,0.0114
2.16,-0.1502,-0.5612,9.5959,-0.0409,-0.0245,-0.0125
2.18,0.0804,-0.3911,9.6011,-0.0259,-0.0364,-0.0153
2.2,0.2237,-0.0276,9.8597,-0.0017,0.001,0.0096
