time_s,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,1.4116,-3.2773,8.777,0.0074,0.0055,0.0037
0.02,1.3315,-3.3729,8.9162,0.0148,0.0111,0.0074
0.04,1.5726,-3.2646,9.2368,0.0509,0.0382,0.0255
0.06,1.2172,-3.4522,8.7022,-0.0042,-0.0032,-0.0021
0.08,1.2694,-3.5392,8.6663,-0.0161,-0.0121,-0.0081
0.1,1.4274,-3.5754,8.8463,0.0026,0.0019,0.0013
0.12,1.3248,-3.4398,8.716,-0.008,-0.006,-0.004
0.14,1.3119,-3.5565,8.7543,-0.0081,-0.0061,-0.004
0.16,1.2993,-3.3912,8.7552,-0.0033,-0.0025,-0.0017
0.18,1.1582,-3.5578,8.6813,-0.0249,-0.0187,-0.0124
0.2,1.0145,-3.7549,8.4281,-0.0401,-0.0301,-0.02
0.22,1.2733,-3.4682,8.7742,-0.0048,-0.0036,-0.0024
0.24,1.309,-3.449,8.7183,-0.0064,-0.0048,-0.0032
0.26,1.4447,-3.4263,8.9701,0.0135,0.0101,0.0067
0.28,1.5392,-3.4229,9.0262,0.0228,0.0171,0.0114
0.3,1.3562,-3.4413,8.8846,0.0061,0.0046,0.0031
0.32,1.4026,-3.5066,8.8612,0.0007,0.0005,0.0003
0.34,1.2225,-3.5853,8.6601,-0.0226,-0.017,-0.0113
0.36,1.3585,-3.5287,8.7488,-0.0141,-0.0106,-0.007
0.38,1.3246,-3.497,8.7424,-0.002,-0.0015,-0.001
0.4,1.3002,-3.4141,8.8773,0.0002,0.0002,0.0001
0.42,1.4761,-3.4734,8.9006,0.0164,0.0123,0.0082
0.44,1.2862,-3.38,8.8621,0.0094,0.0071,0.0047
0.46,1.4031,-3.3555,9.0318,0.0166,0.0125,0.0083
0.48,1.1622,-3.4395,8.5933,-0.0153,-0.0115,-0.0077
0.5,1.3396,-3.5913,8.749,-0.0055,-0.0042,-0.0028
0.52,1.382,-3.3886,8.8468,-0.003,-0.0023,-0.0015
0.54,1.5089,-3.4537,8.9185,0.018,0.0135,0.009
0.56,1.2869,-3.4171,8.8981,0.0096,0.0072,0.0048
0.58,1.1917,-3.5266,8.7633,0.0003,0.0002,0.0002
0.6,1.3173,-3.5292,8.9247,0.0147,0.0111,0.0074
0.62,1.1621,-3.5073,8.8104,-0.0107,-0.008,-0.0053
0.64,1.2896,-3.4089,8.8777,0.001,0.0008,0.0005
0.66,1.3038,-3.5497,8.752,-0.0117,-0.0088,-0.0059
0.68,1.3885,-3.443,8.9597,0.0166,0.0125,0.0083
0.7,1.4258,-3.4132,8.837,0.001,0.0008,0.0005
0.72,1.1781,-3.4769,8.763,-0.0106,-0.0079,-0.0053
0.74,1.3051,-3.3309,8.8011,-0.0033,-0.0025,-0.0016
0.76,1.2577,-3.5028,8.6746,-0.0067,-0.005,-0.0034
0.78,1.3905,-3.4763,8.8558,0.0115,0.0086,0.0058
0.8,1.2606,-3.4623,8.6817,-0.0054,-0.0041,-0.0027
0.82,1.1075,-3.6133,8.6016,-0.0247,-0.0185,-0.0123
0.84,1.2676,-3.5114,8.8096,-0.0038,-0.0029,-0.0019
0.86,1.2031,-3.525,8.6969,-0.0132,-0.0099,-0.0066
0.88,1.311,-3.3958,8.7844,0.0053,0.004,0.0027
0.9,1.4659,-3.4178,8.8191,0.014,0.0105,0.007
0.92,1.1695,-3.5517,8.6891,-0.0077,-0.0058,-0.0039
0.94,1.3846,-3.516,8.8107,0.0073,0.0055,0.0037
0.96,1.2092,-3.4908,8.7395,-0.0121,-0.0091,-0.006
0.98,1.3571,-3.3931,8.8789,0.0212,0.0159,0.0106
1.0,1.3987,-3.4818,8.8943,0.0082,0.0062,0.0041
1.02,1.3389,-3.3662,8.6665,-0.0037,-0.0028,-0.0018
1.04,0.9982,-3.7038,8.3959,-0.043,-0.0322,-0.0215
1.06,1.3368,-3.4595,8.9925,0.0169,0.0126,0.0084
1.08,1.4354,-3.4132,8.9791,0.0225,0.0168,0.0112
1.1,1.1818,-3.4992,8.672,-0.022,-0.0165,-0.011
1.12,1.3117,-3.4279,8.8494,0.0036,0.0027,0.0018
1.14,1.3,-3.5314,8.9775,0.0117,0.0088,0.0059
1.16,1.3823,-3.4306,8.9392,0.0164,0.0123,0.0082
1.18,1.3554,-3.4983,8.9233,0.0188,0.0141,0.0089
1.2,1.2754,-3.4731,8.7186,-0.0136,-0.0111,-0.0072
1.22,1.0789,-3.6544,8.4753,-0.0372,-0.0259,-0.0173
1.24,1.1992,-3.4732,8.7394,-0.0107,-0.0062,-0.0063
1.26,1.3346,-3.3689,8.7939,-0.0132,-0.0087,-0.0065
1.28,1.2093,-3.4555,8.8571,0.0056,0.0039,0.0007
1.3,1.5125,-3.4545,9.0106,0.0285,0.0204,0.0146
1.32,1.3253,-3.5885,8.8717,0.0058,0.0019,0.001
1.34,1.1906,-3.6181,8.7396,-0.0165,-0.0076,-0.0003
1.36,1.296,-3.5264,8.8595,0.008,0.0046,0.0066
1.38,1.3161,-3.4402,8.7937,0.0022,0.004,0.006
1.4,1.3564,-3.4491,8.9708,0.006,0.0079,0.0037
1.42,1.3953,-3.3551,9.0357,0.0233,0.0031,0.0085
1.44,1.171,-3.4094,8.7375,-0.0028,-0.0073,-0.0007
1.46,1.426,-3.4616,8.8044,0.0126,0.0137,0.0138
1.48,1.4443,-3.3698,9.0025,0.0227,0.0317,0.0163
1.5,1.3527,-3.3603,8.9803,0.0175,0.0154,0.0039
1.52,1.3522,-3.512,8.763,-0.0103,-0.0094,-0.0029
1.54,1.453,-3.319,8.8272,0.0094,0.0164,0.0078
1.56,1.1927,-3.6204,8.5798,-0.0114,0.0022,-0.0065
1.58,1.204,-3.5623,8.7022,-0.0111,0.017,0.0107
1.6,1.1172,-3.4678,8.6302,-0.0223,-0.0131,-0.0135
1.62,1.5029,-3.6164,9.085,0.0224,0.0223,0.0254
1.64,1.1493,-3.4109,8.7861,-0.0012,-0.0081,-0.0226
1.66,1.3801,-3.3039,8.8967,0.0092,0.0177,0.0172
1.68,1.2085,-3.5391,8.799,-0.0028,-0.0019,0.0021
1.7,1.2481,-3.4438,8.8177,-0.0085,0.0079,-0.0004
1.72,1.2009,-3.5036,8.9492,-0.0166,-0.0031,-0.0024
1.74,1.412,-3.4608,9.1073,-0.0043,0.0318,0.0266
1.76,1.2645,-3.4496,8.8606,0.0031,-0.0021,0.0175
1.78,1.267,-3.3593,8.8436,-0.0069,0.0104,0.0138
1.8,1.4331,-3.4513,8.9402,0.0037,0.015,0.0106
1.82,1.5186,-3.5228,9.0605,0.0402,-0.0068,0.0268
1.84,1.014,-3.5695,8.6867,-0.0191,-0.0125,-0.0211
1.86,1.2059,-3.32,8.9441,0.0243,0.0013,-0.0011
1.88,1.1886,-3.5324,8.8239,0.0052,0.0062,-0.0161
1.9,1.3064,-3.3965,8.8744,0.0052,-0.0125,0.0112
1.92,1.5006,-3.5137,8.9545,0.0495,0.0373,0.0138
1.94,1.2458,-3.44,8.4829,0.0587,0.0755,0.0483
1.96,1.47,-3.4588,8.7955,0.0715,0.1005,0.0137
1.98,1.1946,-3.7979,8.4825,0.0489,0.1063,-0.0208
2.0,1.2536,-3.4649,8.6187,0.0318,0.053,-0.0426
2.02,1.4021,-3.4773,8.4845,-0.0162,-0.0127,-0.0412
2.04,1.3445,-3.7039,8.1213,-0.1383,-0.17,-0.1052
2.06,1.1332,-3.5811,8.4971,-0.1633,-0.2916,-0.0804
2.08,1.2705,-3.7664,8.6342,-0.1815,-0.2183,-0.0611
2.1,0.7073,-3.4122,8.5284,-0.2559,-0.1225,-0.1082
2.12,0.7934,-3.3785,9.1587,-0.2597,0.0917,-0.0777
