Dataset,Speed,Position,Filter,Ground_Truth,Detected,Error,Abs_Error,Error_Pct
slow_hand,Slow,Hand,Raw,60,63,3,3,5.0
slow_hand,Slow,Hand,Moving Average,60,61,1,1,1.7
slow_hand,Slow,Hand,Butterworth,60,64,4,4,6.7
slow_hand,Slow,Hand,Kalman,60,57,-3,3,5.0
slow_hand,Slow,Hand,Gyroscope,60,60,0,0,0.0
slow_hand,Slow,Hand,Fusion (Accel+Gyro),60,60,0,0,0.0
normal_hand,Normal,Hand,Raw,74,75,1,1,1.4
normal_hand,Normal,Hand,Moving Average,74,73,-1,1,1.4
normal_hand,Normal,Hand,Butterworth,74,74,0,0,0.0
normal_hand,Normal,Hand,Kalman,74,68,-6,6,8.1
normal_hand,Normal,Hand,Gyroscope,74,74,0,0,0.0
normal_hand,Normal,Hand,Fusion (Accel+Gyro),74,74,0,0,0.0
fast_hand,Fast,Hand,Raw,83,83,0,0,0.0
fast_hand,Fast,Hand,Moving Average,83,75,-8,8,9.6
fast_hand,Fast,Hand,Butterworth,83,83,0,0,0.0
fast_hand,Fast,Hand,Kalman,83,80,-3,3,3.6
fast_hand,Fast,Hand,Gyroscope,83,83,0,0,0.0
fast_hand,Fast,Hand,Fusion (Accel+Gyro),83,83,0,0,0.0
slow_pocket,Slow,Pocket,Raw,62,68,6,6,9.7
slow_pocket,Slow,Pocket,Moving Average,62,60,-2,2,3.2
slow_pocket,Slow,Pocket,Butterworth,62,63,1,1,1.6
slow_pocket,Slow,Pocket,Kalman,62,52,-10,10,16.1
slow_pocket,Slow,Pocket,Gyroscope,62,62,0,0,0.0
slow_pocket,Slow,Pocket,Fusion (Accel+Gyro),62,62,0,0,0.0
normal_pocket,Normal,Pocket,Raw,72,73,1,1,1.4
normal_pocket,Normal,Pocket,Moving Average,72,71,-1,1,1.4
normal_pocket,Normal,Pocket,Butterworth,72,73,1,1,1.4
normal_pocket,Normal,Pocket,Kalman,72,67,-5,5,6.9
normal_pocket,Normal,Pocket,Gyroscope,72,72,0,0,0.0
normal_pocket,Normal,Pocket,Fusion (Accel+Gyro),72,72,0,0,0.0
fast_pocket,Fast,Pocket,Raw,79,81,2,2,2.5
fast_pocket,Fast,Pocket,Moving Average,79,76,-3,3,3.8
fast_pocket,Fast,Pocket,Butterworth,79,80,1,1,1.3
fast_pocket,Fast,Pocket,Kalman,79,68,-11,11,13.9
fast_pocket,Fast,Pocket,Gyroscope,79,79,0,0,0.0
fast_pocket,Fast,Pocket,Fusion (Accel+Gyro),79,78,-1,1,1.3
slow_arm,Slow,Arm,Raw,59,67,8,8,13.6
slow_arm,Slow,Arm,Moving Average,59,56,-3,3,5.1
slow_arm,Slow,Arm,Butterworth,59,64,5,5,8.5
slow_arm,Slow,Arm,Kalman,59,45,-14,14,23.7
slow_arm,Slow,Arm,Gyroscope,59,59,0,0,0.0
slow_arm,Slow,Arm,Fusion (Accel+Gyro),59,58,-1,1,1.7
normal_arm,Normal,Arm,Raw,74,74,0,0,0.0
normal_arm,Normal,Arm,Moving Average,74,74,0,0,0.0
normal_arm,Normal,Arm,Butterworth,74,74,0,0,0.0
normal_arm,Normal,Arm,Kalman,74,69,-5,5,6.8
normal_arm,Normal,Arm,Gyroscope,74,74,0,0,0.0
normal_arm,Normal,Arm,Fusion (Accel+Gyro),74,74,0,0,0.0
fast_arm,Fast,Arm,Raw,84,86,2,2,2.4
fast_arm,Fast,Arm,Moving Average,84,77,-7,7,8.3
fast_arm,Fast,Arm,Butterworth,84,82,-2,2,2.4
fast_arm,Fast,Arm,Kalman,84,81,-3,3,3.6
fast_arm,Fast,Arm,Gyroscope,84,84,0,0,0.0
fast_arm,Fast,Arm,Fusion (Accel+Gyro),84,82,-2,2,2.4
